engine,kind,config,benchmark,scenario,run_id,scaling,n,particles,particles_processed,rho,dt,steps,steps_processed,bx,by,bz,schedule,layout,executor,ordering,threads,wall_time_seconds,integration_time_s,throughput_it_per_s,performance_mups,avg_step_time_s,median_step_time_s,min_step_time_s,max_step_time_s,std_deviation_s,hostname,run_date,build_dir,stdout_file,stderr_file,command,result_dir
april,argon_scaling,native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t1,20260423_234701,strong,100,1000000,500000000,0.8442,1e-07,500,500,2,2,2,C08,SoA,OmpExecutor,hilbert,1,159.07386,159.07377,3.14,3.14,0.318148,0.318129,0.315706,0.320879,0.000689,cm4r15c06s08,2026-04-23T23:51:11+02:00,build/april-native,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t1/20260423_234701/stdout.log,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t1/20260423_234701/stderr.log,build/april-native/bin/argon_block 100 0.8442 0.0000001 1 500 2 2 2 C08 SoA OmpExecutor hilbert strong_scaling,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t1/20260423_234701
april,argon_scaling,native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t11,20260423_234701,strong,100,1000000,500000000,0.8442,1e-07,500,500,2,2,2,C08,SoA,OmpExecutor,hilbert,11,15.57006,15.56996,32.11,32.11,0.03114,0.031104,0.030965,0.039518,0.000415,cm4r15c06s08,2026-04-23T23:58:18+02:00,build/april-native,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t11/20260423_234701/stdout.log,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t11/20260423_234701/stderr.log,build/april-native/bin/argon_block 100 0.8442 0.0000001 11 500 2 2 2 C08 SoA OmpExecutor hilbert strong_scaling,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t11/20260423_234701
april,argon_scaling,native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t16,20260423_234701,strong,100,1000000,500000000,0.8442,1e-07,500,500,2,2,2,C08,SoA,OmpExecutor,hilbert,16,11.21112,11.21102,44.6,44.6,0.022422,0.022429,0.022199,0.032964,0.000501,cm4r15c06s08,2026-04-23T23:58:36+02:00,build/april-native,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t16/20260423_234701/stdout.log,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t16/20260423_234701/stderr.log,build/april-native/bin/argon_block 100 0.8442 0.0000001 16 500 2 2 2 C08 SoA OmpExecutor hilbert strong_scaling,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t16/20260423_234701
april,argon_scaling,native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t2,20260423_234701,strong,100,1000000,500000000,0.8442,1e-07,500,500,2,2,2,C08,SoA,OmpExecutor,hilbert,2,80.22613,80.22604,6.23,6.23,0.160452,0.160399,0.159519,0.163859,0.000421,cm4r15c06s08,2026-04-23T23:54:07+02:00,build/april-native,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t2/20260423_234701/stdout.log,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t2/20260423_234701/stderr.log,build/april-native/bin/argon_block 100 0.8442 0.0000001 2 500 2 2 2 C08 SoA OmpExecutor hilbert strong_scaling,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t2/20260423_234701
april,argon_scaling,native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t23,20260423_234701,strong,100,1000000,500000000,0.8442,1e-07,500,500,2,2,2,C08,SoA,OmpExecutor,hilbert,23,8.29628,8.29618,60.27,60.27,0.016592,0.016571,0.016447,0.026039,0.000439,cm4r15c06s08,2026-04-23T23:58:49+02:00,build/april-native,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t23/20260423_234701/stdout.log,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t23/20260423_234701/stderr.log,build/april-native/bin/argon_block 100 0.8442 0.0000001 23 500 2 2 2 C08 SoA OmpExecutor hilbert strong_scaling,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t23/20260423_234701
april,argon_scaling,native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t3,20260423_234701,strong,100,1000000,500000000,0.8442,1e-07,500,500,2,2,2,C08,SoA,OmpExecutor,hilbert,3,53.78921,53.78912,9.3,9.3,0.107578,0.107556,0.107032,0.109862,0.000259,cm4r15c06s08,2026-04-23T23:55:36+02:00,build/april-native,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t3/20260423_234701/stdout.log,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t3/20260423_234701/stderr.log,build/april-native/bin/argon_block 100 0.8442 0.0000001 3 500 2 2 2 C08 SoA OmpExecutor hilbert strong_scaling,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t3/20260423_234701
april,argon_scaling,native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t32,20260423_234701,strong,100,1000000,500000000,0.8442,1e-07,500,500,2,2,2,C08,SoA,OmpExecutor,hilbert,32,6.42144,6.42135,77.87,77.87,0.012843,0.012815,0.012742,0.013554,7.7e-05,cm4r15c06s08,2026-04-23T23:58:59+02:00,build/april-native,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t32/20260423_234701/stdout.log,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t32/20260423_234701/stderr.log,build/april-native/bin/argon_block 100 0.8442 0.0000001 32 500 2 2 2 C08 SoA OmpExecutor hilbert strong_scaling,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t32/20260423_234701
april,argon_scaling,native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t4,20260423_234701,strong,100,1000000,500000000,0.8442,1e-07,500,500,2,2,2,C08,SoA,OmpExecutor,hilbert,4,40.76991,40.76982,12.26,12.26,0.08154,0.081516,0.081133,0.082879,0.000181,cm4r15c06s08,2026-04-23T23:56:36+02:00,build/april-native,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t4/20260423_234701/stdout.log,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t4/20260423_234701/stderr.log,build/april-native/bin/argon_block 100 0.8442 0.0000001 4 500 2 2 2 C08 SoA OmpExecutor hilbert strong_scaling,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t4/20260423_234701
april,argon_scaling,native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t45,20260423_234701,strong,100,1000000,500000000,0.8442,1e-07,500,500,2,2,2,C08,SoA,OmpExecutor,hilbert,45,5.34477,5.34466,93.55,93.55,0.010689,0.010273,0.01007,0.012729,0.000676,cm4r15c06s08,2026-04-23T23:59:07+02:00,build/april-native,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t45/20260423_234701/stdout.log,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t45/20260423_234701/stderr.log,build/april-native/bin/argon_block 100 0.8442 0.0000001 45 500 2 2 2 C08 SoA OmpExecutor hilbert strong_scaling,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t45/20260423_234701
april,argon_scaling,native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t56,20260423_234701,strong,100,1000000,500000000,0.8442,1e-07,500,500,2,2,2,C08,SoA,OmpExecutor,hilbert,56,4.97194,4.97183,100.57,100.57,0.009944,0.009475,0.008977,0.015445,0.001071,cm4r15c06s08,2026-04-23T23:59:14+02:00,build/april-native,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t56/20260423_234701/stdout.log,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t56/20260423_234701/stderr.log,build/april-native/bin/argon_block 100 0.8442 0.0000001 56 500 2 2 2 C08 SoA OmpExecutor hilbert strong_scaling,results/april/native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t56/20260423_234701
