engine,config,benchmark,scaling,scenario,run_id,run_date,hostname,n_dim,particles,rho,dt,steps,block_x,block_y,block_z,cell_config,layout,executor,ordering,threads,steps_processed,particles_processed,wall_time_total_s,integration_time_s,throughput_it_s,performance_mups,avg_step_time_s,median_step_time_s,min_step_time_s,max_step_time_s,stddev_step_time_s,wall_time_process_s,exit_status,result_dir
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t1,20260630_011912_strong_rep1,2026-06-30T01:19:13+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,1,500,500000000,108.06486,108.06475,4.63,4.63,0.21613,0.216644,0.213671,0.220611,0.000928,120.220247,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t1\20260630_011912_strong_rep1
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t1,20260630_011912_strong_rep2,2026-06-30T01:25:06+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,1,500,500000000,107.49261,107.49244,4.65,4.65,0.214985,0.21544,0.213256,0.220515,0.001111,119.672565,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t1\20260630_011912_strong_rep2
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t1,20260630_011912_strong_rep3,2026-06-30T01:30:59+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,1,500,500000000,107.1902,107.19004,4.66,4.66,0.21438,0.214437,0.212476,0.220168,0.000627,119.243013,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t1\20260630_011912_strong_rep3
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t11,20260630_011912_strong_rep1,2026-06-30T01:24:07+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,11,500,500000000,11.06769,11.06753,45.18,45.18,0.022135,0.02209,0.022005,0.030238,0.000422,13.010077,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t11\20260630_011912_strong_rep1
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t11,20260630_011912_strong_rep2,2026-06-30T01:30:00+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,11,500,500000000,11.08347,11.08333,45.11,45.11,0.022167,0.022136,0.022027,0.030803,0.000448,13.041377,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t11\20260630_011912_strong_rep2
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t11,20260630_011912_strong_rep3,2026-06-30T01:35:53+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,11,500,500000000,11.29699,11.29689,44.26,44.26,0.022594,0.022517,0.022452,0.030447,0.00043,13.287058,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t11\20260630_011912_strong_rep3
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t16,20260630_011912_strong_rep1,2026-06-30T01:24:20+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,16,500,500000000,8.15838,8.15825,61.29,61.29,0.016316,0.016288,0.016222,0.024551,0.000409,9.796405,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t16\20260630_011912_strong_rep1
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t16,20260630_011912_strong_rep2,2026-06-30T01:30:13+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,16,500,500000000,8.1387,8.13861,61.44,61.44,0.016277,0.016265,0.016212,0.018374,0.000133,9.691378,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t16\20260630_011912_strong_rep2
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t16,20260630_011912_strong_rep3,2026-06-30T01:36:06+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,16,500,500000000,8.15452,8.15441,61.32,61.32,0.016309,0.016299,0.016204,0.021887,0.000304,9.785195,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t16\20260630_011912_strong_rep3
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t2,20260630_011912_strong_rep1,2026-06-30T01:21:13+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,2,500,500000000,54.78201,54.78188,9.13,9.13,0.109564,0.109459,0.108981,0.112466,0.000389,61.364917,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t2\20260630_011912_strong_rep1
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t2,20260630_011912_strong_rep2,2026-06-30T01:27:06+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,2,500,500000000,54.36202,54.36188,9.2,9.2,0.108724,0.1086,0.108252,0.111455,0.000394,60.913681,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t2\20260630_011912_strong_rep2
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t2,20260630_011912_strong_rep3,2026-06-30T01:32:59+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,2,500,500000000,54.41663,54.41652,9.19,9.19,0.108833,0.108696,0.108328,0.111648,0.000392,60.950028,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t2\20260630_011912_strong_rep3
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t23,20260630_011912_strong_rep1,2026-06-30T01:24:30+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,23,500,500000000,6.28005,6.27996,79.62,79.62,0.01256,0.012541,0.01249,0.020317,0.000351,7.710632,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t23\20260630_011912_strong_rep1
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t23,20260630_011912_strong_rep2,2026-06-30T01:30:23+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,23,500,500000000,6.25895,6.25886,79.89,79.89,0.012518,0.012501,0.012447,0.019916,0.000333,7.685878,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t23\20260630_011912_strong_rep2
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t23,20260630_011912_strong_rep3,2026-06-30T01:36:16+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,23,500,500000000,6.27643,6.27635,79.66,79.66,0.012553,0.012536,0.012469,0.020285,0.000347,7.713624,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t23\20260630_011912_strong_rep3
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t3,20260630_011912_strong_rep1,2026-06-30T01:22:14+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,3,500,500000000,36.6942,36.6941,13.63,13.63,0.073388,0.073366,0.072995,0.075201,0.000241,41.410037,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t3\20260630_011912_strong_rep1
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t3,20260630_011912_strong_rep2,2026-06-30T01:28:07+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,3,500,500000000,36.85889,36.8588,13.57,13.57,0.073718,0.073668,0.073535,0.076559,0.000225,41.551928,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t3\20260630_011912_strong_rep2
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t3,20260630_011912_strong_rep3,2026-06-30T01:34:00+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,3,500,500000000,36.79513,36.79503,13.59,13.59,0.07359,0.073557,0.07339,0.075919,0.000218,41.515801,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t3\20260630_011912_strong_rep3
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t32,20260630_011912_strong_rep1,2026-06-30T01:24:38+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,32,500,500000000,4.95764,4.95755,100.86,100.86,0.009915,0.009899,0.009854,0.010181,4.9e-05,6.218871,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t32\20260630_011912_strong_rep1
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t32,20260630_011912_strong_rep2,2026-06-30T01:30:31+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,32,500,500000000,4.97863,4.97847,100.43,100.43,0.009957,0.009943,0.0099,0.010231,4.6e-05,6.244488,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t32\20260630_011912_strong_rep2
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t32,20260630_011912_strong_rep3,2026-06-30T01:36:24+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,32,500,500000000,5.00523,5.00515,99.9,99.9,0.01001,0.010001,0.009948,0.010263,4.1e-05,6.278872,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t32\20260630_011912_strong_rep3
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t37,20260630_011912_strong_rep1,2026-06-30T01:24:44+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,37,500,500000000,4.62009,4.61998,108.23,108.23,0.00924,0.009209,0.009045,0.009649,0.000146,5.847094,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t37\20260630_011912_strong_rep1
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t37,20260630_011912_strong_rep2,2026-06-30T01:30:37+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,37,500,500000000,4.61132,4.61123,108.43,108.43,0.009222,0.009204,0.009046,0.009639,0.000142,5.84107,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t37\20260630_011912_strong_rep2
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t37,20260630_011912_strong_rep3,2026-06-30T01:36:30+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,37,500,500000000,4.60062,4.6005,108.68,108.68,0.009201,0.009162,0.009026,0.009602,0.000148,9.207638,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t37\20260630_011912_strong_rep3
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t4,20260630_011912_strong_rep1,2026-06-30T01:22:56+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,4,500,500000000,28.00617,28.00603,17.85,17.85,0.056012,0.055984,0.055775,0.060444,0.000249,31.795882,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t4\20260630_011912_strong_rep1
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t4,20260630_011912_strong_rep2,2026-06-30T01:28:49+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,4,500,500000000,28.0424,28.04228,17.83,17.83,0.056085,0.055999,0.055819,0.06086,0.000306,31.813433,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t4\20260630_011912_strong_rep2
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t4,20260630_011912_strong_rep3,2026-06-30T01:34:41+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,4,500,500000000,28.01209,28.01196,17.85,17.85,0.056024,0.055967,0.055777,0.061529,0.000306,31.795763,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t4\20260630_011912_strong_rep3
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t45,20260630_011912_strong_rep1,2026-06-30T01:24:50+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,45,500,500000000,4.24971,4.24959,117.66,117.66,0.008499,0.008287,0.008045,0.009594,0.000391,5.432486,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t45\20260630_011912_strong_rep1
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t45,20260630_011912_strong_rep2,2026-06-30T01:30:43+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,45,500,500000000,4.29049,4.29041,116.54,116.54,0.008581,0.008388,0.008188,0.009289,0.000319,5.474884,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t45\20260630_011912_strong_rep2
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t45,20260630_011912_strong_rep3,2026-06-30T01:36:40+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,45,500,500000000,4.23624,4.23613,118.03,118.03,0.008472,0.008279,0.008142,0.009256,0.000326,5.413069,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t45\20260630_011912_strong_rep3
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t50,20260630_011912_strong_rep1,2026-06-30T01:24:56+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,50,500,500000000,4.02005,4.01985,124.38,124.38,0.00804,0.007867,0.007551,0.009246,0.00042,5.176275,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t50\20260630_011912_strong_rep1
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t50,20260630_011912_strong_rep2,2026-06-30T01:30:49+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,50,500,500000000,3.98891,3.9888,125.35,125.35,0.007978,0.007817,0.00747,0.009071,0.00043,5.087459,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t50\20260630_011912_strong_rep2
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t50,20260630_011912_strong_rep3,2026-06-30T01:36:45+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,50,500,500000000,3.99402,3.99391,125.19,125.19,0.007988,0.007851,0.007504,0.009143,0.000393,5.153288,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t50\20260630_011912_strong_rep3
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t56,20260630_011912_strong_rep1,2026-06-30T01:25:01+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,56,500,500000000,3.90911,3.90902,127.91,127.91,0.007818,0.007616,0.007145,0.009275,0.000507,5.063064,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t56\20260630_011912_strong_rep1
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t56,20260630_011912_strong_rep2,2026-06-30T01:30:54+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,56,500,500000000,3.89991,3.89979,128.21,128.21,0.0078,0.007535,0.007142,0.009349,0.00054,5.051966,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t56\20260630_011912_strong_rep2
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t56,20260630_011912_strong_rep3,2026-06-30T01:36:50+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,56,500,500000000,3.92246,3.92234,127.47,127.47,0.007845,0.007645,0.007177,0.009325,0.000523,5.070627,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t56\20260630_011912_strong_rep3
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t6,20260630_011912_strong_rep1,2026-06-30T01:23:28+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,6,500,500000000,19.08898,19.08882,26.19,26.19,0.038178,0.038138,0.038057,0.046607,0.00042,21.902029,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t6\20260630_011912_strong_rep1
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t6,20260630_011912_strong_rep2,2026-06-30T01:29:21+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,6,500,500000000,19.10616,19.10602,26.17,26.17,0.038212,0.038167,0.03807,0.047561,0.000466,21.913909,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t6\20260630_011912_strong_rep2
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t6,20260630_011912_strong_rep3,2026-06-30T01:35:13+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,6,500,500000000,19.08531,19.08523,26.2,26.2,0.03817,0.038124,0.037992,0.046928,0.000445,21.903799,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t6\20260630_011912_strong_rep3
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t8,20260630_011912_strong_rep1,2026-06-30T01:23:50+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,8,500,500000000,14.7097,14.70956,33.99,33.99,0.029419,0.029385,0.029243,0.037651,0.000436,17.038774,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t8\20260630_011912_strong_rep1
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t8,20260630_011912_strong_rep2,2026-06-30T01:29:43+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,8,500,500000000,14.68055,14.68043,34.06,34.06,0.029361,0.029312,0.029209,0.03734,0.00044,17.003585,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t8\20260630_011912_strong_rep2
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t8,20260630_011912_strong_rep3,2026-06-30T01:35:35+02:00,cm4r15c06s04,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,8,500,500000000,14.91057,14.91049,33.53,33.53,0.029821,0.029779,0.029693,0.036714,0.000362,17.273269,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t8\20260630_011912_strong_rep3
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t1,20260630_004820_strong_rep1,2026-06-30T00:48:20+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,1,500,500000000,188.46082,188.46057,2.65,2.65,0.376921,0.377669,0.359191,0.385556,0.005474,205.164787,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t1\20260630_004820_strong_rep1
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t1,20260630_004820_strong_rep2,2026-06-30T00:58:41+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,1,500,500000000,188.37729,188.37711,2.65,2.65,0.376754,0.377447,0.35838,0.400586,0.005039,205.018589,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t1\20260630_004820_strong_rep2
april,native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t1,20260630_004820_strong_rep3,2026-06-30T01:08:56+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,1,500,500000000,188.15893,188.15877,2.66,2.66,0.376318,0.376894,0.359782,0.401016,0.005151,204.787892,0,results\april\native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t1\20260630_004820_strong_rep3
