engine,config,benchmark,scaling,n_dim,particles,rho,dt,steps,block_x,block_y,block_z,cell_config,layout,executor,ordering,threads,n_reps,performance_mups_mean,performance_mups_median,performance_mups_min,performance_mups_max,performance_mups_stddev
april,native,argon_block,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,1,3,4.6466666666666665,4.65,4.63,4.66,0.015275252316519626
april,native,argon_block,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,2,3,9.173333333333334,9.19,9.13,9.2,0.037859388972001015
april,native,argon_block,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,3,3,13.596666666666668,13.59,13.57,13.63,0.030550504633039252
april,native,argon_block,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,4,3,17.843333333333334,17.85,17.83,17.85,0.01154700538379432
april,native,argon_block,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,6,3,26.186666666666667,26.19,26.17,26.2,0.015275252316518367
april,native,argon_block,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,8,3,33.86,33.99,33.53,34.06,0.28792360097776
april,native,argon_block,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,11,3,44.85,45.11,44.26,45.18,0.512152321092076
april,native,argon_block,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,16,3,61.35,61.32,61.29,61.44,0.07937253933193669
april,native,argon_block,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,23,3,79.72333333333333,79.66,79.62,79.89,0.14571661996262875
april,native,argon_block,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,32,3,100.39666666666668,100.43,99.9,100.86,0.4808672720547017
april,native,argon_block,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,37,3,108.44666666666667,108.43,108.23,108.68,0.22546248764114607
april,native,argon_block,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,45,3,117.41,117.66,116.54,118.03,0.775822144566649
april,native,argon_block,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,50,3,124.97333333333333,125.19,124.38,125.35,0.5200320502943385
april,native,argon_block,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,56,3,127.86333333333333,127.91,127.47,128.21,0.37220066272554697
april,native,argon_block,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,1,3,2.6533333333333333,2.65,2.65,2.66,0.005773502691896391
april,native,argon_block,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,2,3,5.1866666666666665,5.19,5.18,5.19,0.005773502691896647
april,native,argon_block,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,3,3,7.626666666666667,7.65,7.57,7.66,0.04932882862316244
april,native,argon_block,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,4,3,10.003333333333334,10.0,9.98,10.03,0.025166114784235295
april,native,argon_block,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,6,3,14.546666666666667,14.6,14.4,14.64,0.12858201014657267
april,native,argon_block,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,8,3,18.89,18.9,18.87,18.9,0.01732050807568738
april,native,argon_block,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,11,3,24.686666666666667,24.69,24.66,24.71,0.02516611478423624
april,native,argon_block,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,16,3,32.626666666666665,32.62,32.6,32.66,0.030550504633036733
april,native,argon_block,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,23,3,40.85333333333333,40.87,40.82,40.87,0.028867513459479646
april,native,argon_block,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,32,3,47.27,47.34,47.1,47.37,0.14798648586948654
april,native,argon_block,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,37,3,51.28,49.62,49.55,54.67,2.9360347409388763
april,native,argon_block,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,45,3,50.733333333333334,50.81,50.56,50.83,0.15044378795195548
april,native,argon_block,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,50,3,52.223333333333336,52.22,52.02,52.43,0.2050203241957554
april,native,argon_block,strong,100,1000000,0.8442,0.005,500,2,2,2,C08,SoA,OmpExecutor,hilbert,56,3,51.99666666666666,50.17,50.16,55.66,3.172543669255527
