engine,config,benchmark,scenario,run_id,date,hostname,cpu_scaling_enabled,implementation,layout,vector_policy,baseline_variant,kernel,benchmark_args,arg0,arg1,arg2,name,run_name,run_type,aggregate_name,repetition_index,repetitions,threads,iterations,real_time_ms,cpu_time_ms,time_unit,items_per_second,ns_per_interaction,json_path
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoS,Scalar,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,0,10,1,2,4264.9686794468535,4264.2718195,ms,983351947.8811452,1.016929902009882,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoS,Scalar,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,1,10,1,2,4287.7881608268835,4287.0508755,ms,978126950.6186899,1.022362178414034,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoS,Scalar,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,2,10,1,2,4234.437117349248,4233.729650000001,ms,990445859.0075537,1.0096463031326313,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoS,Scalar,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,3,10,1,2,4179.565418533082,4178.862532499998,ms,1003450093.7486873,0.9965617684724124,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoS,Scalar,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,4,10,1,2,4142.9233243625695,4142.206596499996,ms,1012329999.0742034,0.9878201781183215,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoS,Scalar,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,5,10,1,2,4121.063746586196,4120.383264999998,ms,1017691736.4991779,0.9826158198355458,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoS,Scalar,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,6,10,1,2,4198.165816857499,4197.426061000002,ms,999012237.2759525,1.000988739363935,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoS,Scalar,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,7,10,1,2,4201.897539454233,4201.222893500002,ms,998109385.361988,1.00189419583238,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoS,Scalar,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,8,10,1,2,4294.451181554206,4293.715490499999,ms,976608722.5103257,1.0239515344789756,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoS,Scalar,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,9,10,1,2,4292.592582468134,4291.850454000006,ms,977033110.7627158,1.0235067665407522,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoS,Scalar,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000_mean","BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",aggregate,mean,,10,1,10,4221.785356743891,4221.0719638,ms,993616004.274044,1.0066277386198867,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoS,Scalar,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000_median","BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",aggregate,median,,10,1,10,4218.167328401741,4217.476271750002,ms,994277622.1847708,1.0057702494825056,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoS,Scalar,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000_stddev","BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",aggregate,stddev,,10,1,10,63.04779130027016,63.033543640599056,ms,14890060.262345267,0.015032037841665399,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,AoS,Scalar,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000_cv","BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",aggregate,cv,,10,1,10,0.014933916808337368,0.014933065387459874,ms,0.01498572909282419,0.01493306538748348,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,SoA,Scalar,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,0,10,1,2,4995.909040542688,4995.220583500007,ms,839458424.2888207,1.1912442249265507,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,SoA,Scalar,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,1,10,1,2,4995.651805987508,4994.966779000002,ms,839501078.8919599,1.191183698441316,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,SoA,Scalar,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,2,10,1,2,4997.103757844491,4996.419409499999,ms,839257007.1333601,1.1915301171159567,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,SoA,Scalar,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,3,10,1,2,5014.397997605565,5013.6304730000065,ms,836375960.0118408,1.195634556480847,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
april,native,april_vs_hardcoded,default,20260630_002507,2026-06-30T00:25:07+02:00,cm4r15c06s04,True,April,SoA,Scalar,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>",16/500,16,500,,"BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000","BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500/min_time:5.000/min_warmup_time:2.000",iteration,,4,10,1,2,4997.197374039316,4996.456916000014,ms,839250707.1504964,1.191539061546096,results\april\native\april_vs_hardcoded\default\20260630_002507\april_vs_hardcoded.json
