engine,kind,config,benchmark,scenario,run_id,n,n_dim,atoms,particles,steps,ranks,threads,total_cores,timesteps_per_second,matom_step_per_second,performance_mups,cpu_use_percent,pair_time_s,total_neighbors,neighbors_per_step,neighbor_list_builds,dangerous_builds,ns_per_interaction,interactions_per_second,pair_ns_per_interaction,pair_interactions_per_second,wall_time_s,wall_time_seconds,hostname,run_date,lammps_version,build_mpi,build_omp,pkg_openmp,pkg_intel,intel_arch,intel_lrt_mode,lammps_fp_model,cc,cxx,extra_c_flags,extra_cxx_flags,cmake_build_type,lammps_commit,benchmark_repo_commit,omp_num_threads,omp_places,omp_proc_bind,omp_dynamic,kmp_affinity,kmp_blocktime,slurm_job_id,slurm_cpus_per_task,datafile,input_file,lammps_bin,command,result_dir,stdout_file,stderr_file,log_file,configuration_file,metrics_file,build_dir,engine_from_run_info,install_dir,result_dir_from_run_info
lammps,force_kernel,intel-generic,force_kernel_bench,n50_singlecore_steps100,20260426_171954,50,50,125000,125000,100,1,1,1,42.594,5.324,5.324,131.1,2.3106,4712572,4712572,0,0,4.90305506,203954471,4.903055062076505,203954470.700251,5.105336,5.105336,cm4r15c06s08,2026-04-26T17:19:55+02:00,22 Jul 2025 - Update 4,ON,ON,ON,ON,cpu,none,fast,/dss/lrzsys/sys/spack/release/24.4.0/opt/x86_64/intel-oneapi-mpi/2021.12.0-gcc-dz4gyjq/mpi/2021.12/bin/mpiicx,/dss/lrzsys/sys/spack/release/24.4.0/opt/x86_64/intel-oneapi-mpi/2021.12.0-gcc-dz4gyjq/mpi/2021.12/bin/mpiicpx,-O3 -DNDEBUG -fp-model=fast -qopenmp,-O3 -DNDEBUG -fp-model=fast -qopenmp,Release,unknown,unknown,1,unset,unset,FALSE,"granularity=fine,compact,1,0",0,362087,unset,results/lammps/intel-generic/force_kernel_bench/n50_singlecore_steps100/20260426_171954/force_kernel_grid_n50.data,engines/lammps/force_kernel_bench.in,build/lammps-intel-generic/install/bin/lmp,mpirun -np 1 build/lammps-intel-generic/install/bin/lmp -in engines/lammps/force_kernel_bench.in -var datafile results/lammps/intel-generic/force_kernel_bench/n50_singlecore_steps100/20260426_171954/force_kernel_grid_n50.data -var n_dim 50 -var steps 100 -sf intel -pk intel 1,results/lammps/intel-generic/force_kernel_bench/n50_singlecore_steps100/20260426_171954,results/lammps/intel-generic/force_kernel_bench/n50_singlecore_steps100/20260426_171954/stdout.log,results/lammps/intel-generic/force_kernel_bench/n50_singlecore_steps100/20260426_171954/stderr.log,results/lammps/intel-generic/force_kernel_bench/n50_singlecore_steps100/20260426_171954/log.lammps,results/lammps/intel-generic/force_kernel_bench/n50_singlecore_steps100/20260426_171954/configuration.log,results/lammps/intel-generic/force_kernel_bench/n50_singlecore_steps100/20260426_171954/derived_metrics.txt,build/lammps-intel-generic,LAMMPS,build/lammps-intel-generic/install,/dss/dssfs02/lwp-dss-0001/pr63so/pr63so-dss-0000/ge93qil2/april-benchmarks/results/lammps/intel-generic/force_kernel_bench/n50_singlecore_steps100/20260426_171954
lammps,force_kernel,intel-native,force_kernel_bench,n50_singlecore_steps100,20260426_165217,50,50,125000,125000,100,1,1,1,61.255,7.657,7.657,139.7,1.595,4712572,4712572,0,0,3.38456367,295459060,3.384563673509922,295459059.56112856,4.527041,4.527041,cm4r15c06s08,2026-04-26T16:52:17+02:00,22 Jul 2025 - Update 4,ON,ON,ON,ON,cpu,none,fast,/dss/lrzsys/sys/spack/release/24.4.0/opt/x86_64/intel-oneapi-mpi/2021.12.0-gcc-dz4gyjq/mpi/2021.12/bin/mpiicx,/dss/lrzsys/sys/spack/release/24.4.0/opt/x86_64/intel-oneapi-mpi/2021.12.0-gcc-dz4gyjq/mpi/2021.12/bin/mpiicpx,-O3 -DNDEBUG -xHost -qopenmp -qopt-zmm-usage=high -fp-model=fast,-O3 -DNDEBUG -xHost -qopenmp -qopt-zmm-usage=high -fp-model=fast,Release,unknown,unknown,1,unset,unset,FALSE,"granularity=fine,compact,1,0",0,362087,unset,results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_165217/force_kernel_grid_n50.data,engines/lammps/force_kernel_bench.in,build/lammps-intel-native/install/bin/lmp,mpirun -np 1 build/lammps-intel-native/install/bin/lmp -in engines/lammps/force_kernel_bench.in -var datafile results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_165217/force_kernel_grid_n50.data -var n_dim 50 -var steps 100 -sf intel -pk intel 1,results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_165217,results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_165217/stdout.log,results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_165217/stderr.log,results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_165217/log.lammps,results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_165217/configuration.log,results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_165217/derived_metrics.txt,build/lammps-intel-native,LAMMPS,build/lammps-intel-native/install,/dss/dssfs02/lwp-dss-0001/pr63so/pr63so-dss-0000/ge93qil2/april-benchmarks/results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_165217
lammps,force_kernel,intel-native,force_kernel_bench,n50_singlecore_steps100,20260426_171020,50,50,125000,125000,100,1,1,1,61.028,7.628,7.628,197.2,1.6011,4712572,4712572,0,0,3.39750777,294333396,3.39750777282554,294333395.7903941,4.333283,4.333283,cm4r15c06s08,2026-04-26T17:10:20+02:00,22 Jul 2025 - Update 4,ON,ON,ON,ON,cpu,none,fast,/dss/lrzsys/sys/spack/release/24.4.0/opt/x86_64/intel-oneapi-mpi/2021.12.0-gcc-dz4gyjq/mpi/2021.12/bin/mpiicx,/dss/lrzsys/sys/spack/release/24.4.0/opt/x86_64/intel-oneapi-mpi/2021.12.0-gcc-dz4gyjq/mpi/2021.12/bin/mpiicpx,-O3 -DNDEBUG -xHost -qopenmp -qopt-zmm-usage=high -fp-model=fast,-O3 -DNDEBUG -xHost -qopenmp -qopt-zmm-usage=high -fp-model=fast,Release,unknown,unknown,1,unset,unset,FALSE,"granularity=fine,compact,1,0",0,362087,unset,results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_171020/force_kernel_grid_n50.data,engines/lammps/force_kernel_bench.in,build/lammps-intel-native/install/bin/lmp,mpirun -np 1 build/lammps-intel-native/install/bin/lmp -in engines/lammps/force_kernel_bench.in -var datafile results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_171020/force_kernel_grid_n50.data -var n_dim 50 -var steps 100 -sf intel -pk intel 1,results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_171020,results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_171020/stdout.log,results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_171020/stderr.log,results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_171020/log.lammps,results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_171020/configuration.log,results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_171020/derived_metrics.txt,build/lammps-intel-native,LAMMPS,build/lammps-intel-native/install,/dss/dssfs02/lwp-dss-0001/pr63so/pr63so-dss-0000/ge93qil2/april-benchmarks/results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_171020
lammps,force_kernel,intel-native,force_kernel_bench,n50_singlecore_steps100,20260426_174418,50,50,125000,125000,100,1,1,1,61.42,7.678,7.678,239.5,1.5906,4712572,4712572,0,0,3.37522695,296276374,3.375226946134722,296276373.69546086,4.356827,4.356827,cm4r15c06s08,2026-04-26T17:44:18+02:00,22 Jul 2025 - Update 4,ON,ON,ON,ON,cpu,none,fast,/dss/lrzsys/sys/spack/release/24.4.0/opt/x86_64/intel-oneapi-mpi/2021.12.0-gcc-dz4gyjq/mpi/2021.12/bin/mpiicx,/dss/lrzsys/sys/spack/release/24.4.0/opt/x86_64/intel-oneapi-mpi/2021.12.0-gcc-dz4gyjq/mpi/2021.12/bin/mpiicpx,-O3 -DNDEBUG -xHost -qopenmp -qopt-zmm-usage=high -fp-model=fast,-O3 -DNDEBUG -xHost -qopenmp -qopt-zmm-usage=high -fp-model=fast,Release,unknown,unknown,1,unset,unset,FALSE,"granularity=fine,compact,1,0",0,362087,unset,results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_174418/force_kernel_grid_n50.data,engines/lammps/force_kernel_bench.in,build/lammps-intel-native/install/bin/lmp,mpirun -np 1 build/lammps-intel-native/install/bin/lmp -in engines/lammps/force_kernel_bench.in -var datafile results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_174418/force_kernel_grid_n50.data -var n_dim 50 -var steps 100 -sf intel -pk intel 1,results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_174418,results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_174418/stdout.log,results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_174418/stderr.log,results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_174418/log.lammps,results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_174418/configuration.log,results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_174418/derived_metrics.txt,build/lammps-intel-native,LAMMPS,build/lammps-intel-native/install,/dss/dssfs02/lwp-dss-0001/pr63so/pr63so-dss-0000/ge93qil2/april-benchmarks/results/lammps/intel-native/force_kernel_bench/n50_singlecore_steps100/20260426_174418
lammps,force_kernel,openmp-generic,force_kernel_bench,n50_singlecore_steps100,20260426_154806,50,50,125000,125000,100,1,1,1,48.473,6.059,6.059,293.3,2.0504,4712572,4712572,0,0,4.35091496,229836715,4.350914956843099,229836714.78735858,2.487055,2.487055,cm4r15c06s08,2026-04-26T15:48:06+02:00,22 Jul 2025 - Update 4,OFF,ON,ON,OFF,,,,/lrz/sys/compilers/llvm/20.1.2/bin/clang,/lrz/sys/compilers/llvm/20.1.2/bin/clang++,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp,Release,unknown,unknown,1,unset,unset,FALSE,unset,unset,362087,unset,results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_154806/force_kernel_grid_n50.data,engines/lammps/force_kernel_bench.in,build/lammps-openmp-generic/install/bin/lmp,build/lammps-openmp-generic/install/bin/lmp -in engines/lammps/force_kernel_bench.in -var datafile results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_154806/force_kernel_grid_n50.data -var n_dim 50 -var steps 100 -sf omp -pk omp 1,results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_154806,results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_154806/stdout.log,results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_154806/stderr.log,results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_154806/log.lammps,results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_154806/configuration.log,results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_154806/derived_metrics.txt,build/lammps-openmp-generic,LAMMPS,build/lammps-openmp-generic/install,/dss/dssfs02/lwp-dss-0001/pr63so/pr63so-dss-0000/ge93qil2/april-benchmarks/results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_154806
lammps,force_kernel,openmp-generic,force_kernel_bench,n50_singlecore_steps100,20260426_183217,50,50,125000,125000,100,1,1,1,48.407,6.051,6.051,191.4,2.0512,4712572,4712572,0,0,4.35261254,229747075,4.352612543638591,229747074.8829953,2.535069,2.535069,cm4r15c06s08,2026-04-26T18:32:17+02:00,22 Jul 2025 - Update 4,OFF,ON,ON,OFF,,,,/lrz/sys/compilers/llvm/20.1.2/bin/clang,/lrz/sys/compilers/llvm/20.1.2/bin/clang++,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp,Release,unknown,unknown,1,unset,unset,FALSE,unset,unset,362111,unset,results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_183217/force_kernel_grid_n50.data,engines/lammps/force_kernel_bench.in,build/lammps-openmp-generic/install/bin/lmp,build/lammps-openmp-generic/install/bin/lmp -in engines/lammps/force_kernel_bench.in -var datafile results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_183217/force_kernel_grid_n50.data -var n_dim 50 -var steps 100 -sf omp -pk omp 1,results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_183217,results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_183217/stdout.log,results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_183217/stderr.log,results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_183217/log.lammps,results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_183217/configuration.log,results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_183217/derived_metrics.txt,build/lammps-openmp-generic,LAMMPS,build/lammps-openmp-generic/install,/dss/dssfs02/lwp-dss-0001/pr63so/pr63so-dss-0000/ge93qil2/april-benchmarks/results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_183217
lammps,force_kernel,openmp-generic,force_kernel_bench,n50_singlecore_steps100,20260426_185327,50,50,125000,125000,100,1,1,1,48.485,6.061,6.061,171.2,2.0501,4712572,4712572,0,0,4.35027836,229870348,4.350278361794791,229870347.7879128,2.459933,2.459933,cm4r15c06s08,2026-04-26T18:53:27+02:00,22 Jul 2025 - Update 4,OFF,ON,ON,OFF,,,,/lrz/sys/compilers/llvm/20.1.2/bin/clang,/lrz/sys/compilers/llvm/20.1.2/bin/clang++,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp,Release,unknown,unknown,1,unset,unset,FALSE,unset,unset,362111,unset,results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_185327/force_kernel_grid_n50.data,engines/lammps/force_kernel_bench.in,build/lammps-openmp-generic/install/bin/lmp,build/lammps-openmp-generic/install/bin/lmp -in engines/lammps/force_kernel_bench.in -var datafile results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_185327/force_kernel_grid_n50.data -var n_dim 50 -var steps 100 -sf omp -pk omp 1,results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_185327,results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_185327/stdout.log,results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_185327/stderr.log,results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_185327/log.lammps,results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_185327/configuration.log,results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_185327/derived_metrics.txt,build/lammps-openmp-generic,LAMMPS,build/lammps-openmp-generic/install,/dss/dssfs02/lwp-dss-0001/pr63so/pr63so-dss-0000/ge93qil2/april-benchmarks/results/lammps/openmp-generic/force_kernel_bench/n50_singlecore_steps100/20260426_185327
lammps,force_kernel,openmp-native,force_kernel_bench,n50_singlecore_steps100,20260426_160927,50,50,125000,125000,100,1,1,1,51.652,6.456,6.456,346.6,1.9235,4712572,4712572,0,0,4.08163525,244999844,4.08163525140836,244999844.03431246,2.367242,2.367242,cm4r15c06s08,2026-04-26T16:09:27+02:00,22 Jul 2025 - Update 4,OFF,ON,ON,OFF,,,,/lrz/sys/compilers/llvm/20.1.2/bin/clang,/lrz/sys/compilers/llvm/20.1.2/bin/clang++,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,Release,unknown,unknown,1,unset,unset,FALSE,unset,unset,362087,unset,results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_160927/force_kernel_grid_n50.data,engines/lammps/force_kernel_bench.in,build/lammps-openmp-native/install/bin/lmp,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/force_kernel_bench.in -var datafile results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_160927/force_kernel_grid_n50.data -var n_dim 50 -var steps 100 -sf omp -pk omp 1,results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_160927,results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_160927/stdout.log,results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_160927/stderr.log,results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_160927/log.lammps,results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_160927/configuration.log,results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_160927/derived_metrics.txt,build/lammps-openmp-native,LAMMPS,build/lammps-openmp-native/install,/dss/dssfs02/lwp-dss-0001/pr63so/pr63so-dss-0000/ge93qil2/april-benchmarks/results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_160927
lammps,force_kernel,openmp-native,force_kernel_bench,n50_singlecore_steps100,20260426_163052,50,50,125000,125000,100,1,1,1,51.63,6.454,6.454,155.5,1.9243,4712572,4712572,0,0,4.08333284,244897989,4.083332838203852,244897988.87907293,2.332429,2.332429,cm4r15c06s08,2026-04-26T16:30:52+02:00,22 Jul 2025 - Update 4,OFF,ON,ON,OFF,,,,/lrz/sys/compilers/llvm/20.1.2/bin/clang,/lrz/sys/compilers/llvm/20.1.2/bin/clang++,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,Release,unknown,unknown,1,unset,unset,FALSE,unset,unset,362087,unset,results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_163052/force_kernel_grid_n50.data,engines/lammps/force_kernel_bench.in,build/lammps-openmp-native/install/bin/lmp,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/force_kernel_bench.in -var datafile results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_163052/force_kernel_grid_n50.data -var n_dim 50 -var steps 100 -sf omp -pk omp 1,results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_163052,results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_163052/stdout.log,results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_163052/stderr.log,results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_163052/log.lammps,results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_163052/configuration.log,results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_163052/derived_metrics.txt,build/lammps-openmp-native,LAMMPS,build/lammps-openmp-native/install,/dss/dssfs02/lwp-dss-0001/pr63so/pr63so-dss-0000/ge93qil2/april-benchmarks/results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_163052
lammps,force_kernel,openmp-native,force_kernel_bench,n50_singlecore_steps100,20260426_173411,50,50,125000,125000,100,1,1,1,51.65,6.456,6.456,209.2,1.9235,4712572,4712572,0,0,4.08163525,244999844,4.08163525140836,244999844.03431246,2.336007,2.336007,cm4r15c06s08,2026-04-26T17:34:11+02:00,22 Jul 2025 - Update 4,OFF,ON,ON,OFF,,,,/lrz/sys/compilers/llvm/20.1.2/bin/clang,/lrz/sys/compilers/llvm/20.1.2/bin/clang++,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,Release,unknown,unknown,1,unset,unset,FALSE,unset,unset,362087,unset,results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_173411/force_kernel_grid_n50.data,engines/lammps/force_kernel_bench.in,build/lammps-openmp-native/install/bin/lmp,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/force_kernel_bench.in -var datafile results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_173411/force_kernel_grid_n50.data -var n_dim 50 -var steps 100 -sf omp -pk omp 1,results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_173411,results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_173411/stdout.log,results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_173411/stderr.log,results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_173411/log.lammps,results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_173411/configuration.log,results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_173411/derived_metrics.txt,build/lammps-openmp-native,LAMMPS,build/lammps-openmp-native/install,/dss/dssfs02/lwp-dss-0001/pr63so/pr63so-dss-0000/ge93qil2/april-benchmarks/results/lammps/openmp-native/force_kernel_bench/n50_singlecore_steps100/20260426_173411
