engine,kind,config,benchmark,scenario,run_id,n_dim,atoms,rho,steps,dt,ranks,threads,bind,loop_time_s,timesteps_per_second,matom_step_per_second,cpu_use_percent,pair_time_s,neigh_time_s,comm_time_s,modify_time_s,total_neighbors,neighbor_list_builds,wall_time_s,datafile,input_file,lammps_bin,command,result_dir
lammps,scaling,intel-generic,argon_block,strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r11_t1_bindclose,20260423_230902,100,1000000,0.8442,500,0.005,11,1,close,19.1549,unknown,26.103,99.9%,9.9002,7.3793,0.94576,0.4843,37710977,84,24.361802,results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r11_t1_bindclose/20260423_230902/argon_grid_n100_rho0.8442.data,engines/lammps/argon_block.in,build/lammps-intel-generic/install/bin/lmp,mpirun -np 11 build/lammps-intel-generic/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r11_t1_bindclose/20260423_230902/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.005 -sf intel -pk intel 1 mode double,results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r11_t1_bindclose/20260423_230902
lammps,scaling,intel-generic,argon_block,strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r16_t1_bindclose,20260423_230902,100,1000000,0.8442,500,0.005,16,1,close,12.3715,unknown,40.416,99.9%,6.4488,5.0069,0.41594,0.29139,37710977,84,17.360789,results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r16_t1_bindclose/20260423_230902/argon_grid_n100_rho0.8442.data,engines/lammps/argon_block.in,build/lammps-intel-generic/install/bin/lmp,mpirun -np 16 build/lammps-intel-generic/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r16_t1_bindclose/20260423_230902/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.005 -sf intel -pk intel 1 mode double,results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r16_t1_bindclose/20260423_230902
lammps,scaling,intel-generic,argon_block,strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r1_t1_bindclose,20260423_230902,100,1000000,0.8442,500,0.005,1,1,close,192.355,unknown,2.599,100.0%,102.56,79.283,2.2582,5.3844,37710977,84,211.942821,results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r1_t1_bindclose/20260423_230902/argon_grid_n100_rho0.8442.data,engines/lammps/argon_block.in,build/lammps-intel-generic/install/bin/lmp,mpirun -np 1 build/lammps-intel-generic/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r1_t1_bindclose/20260423_230902/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.005 -sf intel -pk intel 1 mode double,results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r1_t1_bindclose/20260423_230902
lammps,scaling,intel-generic,argon_block,strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r23_t1_bindclose,20260423_230902,100,1000000,0.8442,500,0.005,23,1,close,10.5248,unknown,47.507,99.9%,5.4045,3.6526,0.89097,0.29592,37710977,84,15.884574,results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r23_t1_bindclose/20260423_230902/argon_grid_n100_rho0.8442.data,engines/lammps/argon_block.in,build/lammps-intel-generic/install/bin/lmp,mpirun -np 23 build/lammps-intel-generic/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r23_t1_bindclose/20260423_230902/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.005 -sf intel -pk intel 1 mode double,results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r23_t1_bindclose/20260423_230902
lammps,scaling,intel-generic,argon_block,strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r2_t1_bindclose,20260423_230902,100,1000000,0.8442,500,0.005,2,1,close,95.4565,unknown,5.238,100.0%,50.522,39.659,1.7928,2.136,37710977,84,106.634127,results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r2_t1_bindclose/20260423_230902/argon_grid_n100_rho0.8442.data,engines/lammps/argon_block.in,build/lammps-intel-generic/install/bin/lmp,mpirun -np 2 build/lammps-intel-generic/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r2_t1_bindclose/20260423_230902/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.005 -sf intel -pk intel 1 mode double,results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r2_t1_bindclose/20260423_230902
lammps,scaling,intel-generic,argon_block,strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r32_t1_bindclose,20260423_230902,100,1000000,0.8442,500,0.005,32,1,close,6.29074,unknown,79.482,99.9%,3.1912,2.5071,0.30504,0.14405,37710977,84,11.593071,results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r32_t1_bindclose/20260423_230902/argon_grid_n100_rho0.8442.data,engines/lammps/argon_block.in,build/lammps-intel-generic/install/bin/lmp,mpirun -np 32 build/lammps-intel-generic/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r32_t1_bindclose/20260423_230902/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.005 -sf intel -pk intel 1 mode double,results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r32_t1_bindclose/20260423_230902
lammps,scaling,intel-generic,argon_block,strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r3_t1_bindclose,20260423_230902,100,1000000,0.8442,500,0.005,3,1,close,65.0649,unknown,7.685,100.0%,34.105,26.511,1.8715,1.4968,37710977,84,73.616722,results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r3_t1_bindclose/20260423_230902/argon_grid_n100_rho0.8442.data,engines/lammps/argon_block.in,build/lammps-intel-generic/install/bin/lmp,mpirun -np 3 build/lammps-intel-generic/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r3_t1_bindclose/20260423_230902/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.005 -sf intel -pk intel 1 mode double,results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r3_t1_bindclose/20260423_230902
lammps,scaling,intel-generic,argon_block,strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r45_t1_bindclose,20260423_230902,100,1000000,0.8442,500,0.005,45,1,close,4.47439,unknown,111.747,99.9%,2.2559,1.7774,0.23793,0.10444,37710977,84,10.483855,results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r45_t1_bindclose/20260423_230902/argon_grid_n100_rho0.8442.data,engines/lammps/argon_block.in,build/lammps-intel-generic/install/bin/lmp,mpirun -np 45 build/lammps-intel-generic/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r45_t1_bindclose/20260423_230902/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.005 -sf intel -pk intel 1 mode double,results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r45_t1_bindclose/20260423_230902
lammps,scaling,intel-generic,argon_block,strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r4_t1_bindclose,20260423_230902,100,1000000,0.8442,500,0.005,4,1,close,48.3673,unknown,10.338,100.0%,25.605,19.948,1.0419,1.0694,37710977,84,55.53362,results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r4_t1_bindclose/20260423_230902/argon_grid_n100_rho0.8442.data,engines/lammps/argon_block.in,build/lammps-intel-generic/install/bin/lmp,mpirun -np 4 build/lammps-intel-generic/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r4_t1_bindclose/20260423_230902/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.005 -sf intel -pk intel 1 mode double,results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r4_t1_bindclose/20260423_230902
lammps,scaling,intel-generic,argon_block,strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r56_t1_bindclose,20260423_230902,100,1000000,0.8442,500,0.005,56,1,close,3.68381,unknown,135.729,99.9%,1.8203,1.4398,0.2316,0.089657,37710977,84,10.012525,results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r56_t1_bindclose/20260423_230902/argon_grid_n100_rho0.8442.data,engines/lammps/argon_block.in,build/lammps-intel-generic/install/bin/lmp,mpirun -np 56 build/lammps-intel-generic/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r56_t1_bindclose/20260423_230902/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.005 -sf intel -pk intel 1 mode double,results/lammps/intel-generic/argon_block/strong_n100_p1000000_rho0.8442_dt0.005_steps500_mpi_r56_t1_bindclose/20260423_230902
