engine,config,benchmark,scaling,scenario,run_id,run_date,hostname,n_dim,atoms,rho,dt,steps,ranks,threads,bind,loop_time_s,timesteps_per_second,matom_step_per_second,cpu_use_percent,pair_time_s,neigh_time_s,comm_time_s,output_time_s,modify_time_s,other_time_s,total_neighbors,neighbor_list_builds,wall_time_s,wall_time_process_s,exit_status,result_dir
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t11_bindclose,20260630_024117_strong_rep1,2026-06-30T02:48:23+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,11,close,29.2834,,17.075,606.1,11.326,4.2619,5.5488,,5.7834,,37710977,84,35.594199,35.594199,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t11_bindclose\20260630_024117_strong_rep1
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t11_bindclose,20260630_024117_strong_rep2,2026-06-30T02:59:54+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,11,close,29.284,,17.074,605.5,11.299,4.2666,5.5411,,5.8199,,37710977,84,35.548988,35.548988,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t11_bindclose\20260630_024117_strong_rep2
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t11_bindclose,20260630_024117_strong_rep3,2026-06-30T03:11:24+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,11,close,29.7008,,16.835,603.2,11.359,4.4684,5.593,,5.8816,,37710977,84,35.947885,35.947885,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t11_bindclose\20260630_024117_strong_rep3
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t16_bindclose,20260630_024117_strong_rep1,2026-06-30T02:49:01+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,16,close,27.8537,,17.951,839.3,10.318,3.6335,5.5695,,5.9784,,37710977,84,34.026749,34.026749,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t16_bindclose\20260630_024117_strong_rep1
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t16_bindclose,20260630_024117_strong_rep2,2026-06-30T03:00:31+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,16,close,28.3485,,17.638,830.1,10.395,3.6137,5.7815,,6.1951,,37710977,84,34.473275,34.473275,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t16_bindclose\20260630_024117_strong_rep2
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t16_bindclose,20260630_024117_strong_rep3,2026-06-30T03:12:02+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,16,close,27.7286,,18.032,843.0,10.373,3.6157,5.5111,,5.9036,,37710977,84,33.901577,33.901577,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t16_bindclose\20260630_024117_strong_rep3
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t1_bindclose,20260630_024117_strong_rep1,2026-06-30T02:41:30+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,1,close,108.223,,4.62,99.9,70.421,24.681,5.3161,,5.0456,,37710977,84,122.404132,122.404132,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t1_bindclose\20260630_024117_strong_rep1
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t1_bindclose,20260630_024117_strong_rep2,2026-06-30T02:53:00+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,1,close,108.638,,4.602,99.9,70.817,24.666,5.3082,,5.0804,,37710977,84,122.866413,122.866413,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t1_bindclose\20260630_024117_strong_rep2
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t1_bindclose,20260630_024117_strong_rep3,2026-06-30T03:04:31+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,1,close,108.298,,4.617,99.9,70.461,24.67,5.3658,,5.0307,,37710977,84,122.477853,122.477853,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t1_bindclose\20260630_024117_strong_rep3
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t23_bindclose,20260630_024117_strong_rep1,2026-06-30T02:49:37+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,23,close,25.5901,,19.539,1114.8,8.8654,3.1835,5.4667,,5.7966,,37710977,84,31.579313,31.579313,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t23_bindclose\20260630_024117_strong_rep1
lammps,intel-native,argon_block,strong,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t23_bindclose,20260630_024117_strong_rep2,2026-06-30T03:01:08+02:00,cm4r15c06s04,100,1000000,0.8442,0.005,500,1,23,close,25.7394,,19.425,1107.0,8.8705,3.1746,5.5931,,5.7896,,37710977,84,31.755545,31.755545,0,results\lammps\intel-native\argon_block\strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t23_bindclose\20260630_024117_strong_rep2
