engine,config,benchmark,scaling,n_dim,atoms,rho,dt,steps,ranks,threads,bind,n_reps,matom_step_per_second_mean,matom_step_per_second_median,matom_step_per_second_min,matom_step_per_second_max,matom_step_per_second_stddev
lammps,intel-native,argon_block,strong,100,1000000,0.8442,0.005,500,1,1,close,3,4.613,4.617,4.602,4.62,0.009643650760992814
lammps,intel-native,argon_block,strong,100,1000000,0.8442,0.005,500,1,2,close,3,7.112,7.126,7.082,7.128,0.02600000000000021
lammps,intel-native,argon_block,strong,100,1000000,0.8442,0.005,500,1,3,close,3,9.694333333333333,9.712,9.642,9.729,0.046112182049143254
lammps,intel-native,argon_block,strong,100,1000000,0.8442,0.005,500,1,4,close,3,11.04,11.024,10.984,11.112,0.06548282217497976
lammps,intel-native,argon_block,strong,100,1000000,0.8442,0.005,500,1,6,close,3,13.495,13.503,13.446,13.536,0.045530209751328814
lammps,intel-native,argon_block,strong,100,1000000,0.8442,0.005,500,1,8,close,3,14.965666666666667,14.944,14.936,15.017,0.0446355613085944
lammps,intel-native,argon_block,strong,100,1000000,0.8442,0.005,500,1,11,close,3,16.994666666666667,17.074,16.835,17.075,0.13827629346107476
lammps,intel-native,argon_block,strong,100,1000000,0.8442,0.005,500,1,16,close,3,17.87366666666667,17.951,17.638,18.032,0.20807290389027827
lammps,intel-native,argon_block,strong,100,1000000,0.8442,0.005,500,1,23,close,3,19.528666666666666,19.539,19.425,19.622,0.098905678974128
lammps,intel-native,argon_block,strong,100,1000000,0.8442,0.005,500,1,32,close,3,19.819666666666667,19.83,19.765,19.864,0.050302418762255545
lammps,intel-native,argon_block,strong,100,1000000,0.8442,0.005,500,1,37,close,3,19.974,20.023,19.873,20.026,0.08748142660016389
lammps,intel-native,argon_block,strong,100,1000000,0.8442,0.005,500,1,45,close,3,19.904,19.906,19.849,19.957,0.05402777063696063
lammps,intel-native,argon_block,strong,100,1000000,0.8442,0.005,500,1,50,close,3,19.380666666666666,19.393,19.307,19.442,0.06833983708887119
lammps,intel-native,argon_block,strong,100,1000000,0.8442,0.005,500,1,56,close,3,18.914,18.963,18.815,18.964,0.08573797291748769
lammps,intel-native,argon_block,weak,32,32768,0.8442,0.005,500,1,1,close,3,4.87,4.876,4.849,4.885,0.01873499399519505
lammps,intel-native,argon_block,weak,40,64000,0.8442,0.005,500,1,2,close,3,7.397,7.397,7.377,7.417,0.020000000000000018
lammps,intel-native,argon_block,weak,46,97336,0.8442,0.005,500,1,3,close,3,11.111333333333333,11.112,11.027,11.195,0.0840019841035521
lammps,intel-native,argon_block,weak,51,132651,0.8442,0.005,500,1,4,close,3,11.597333333333333,11.608,11.375,11.809,0.21719653158679395
lammps,intel-native,argon_block,weak,58,195112,0.8442,0.005,500,1,6,close,3,13.341333333333333,13.376,12.917,13.731,0.40810578693928534
lammps,intel-native,argon_block,weak,64,262144,0.8442,0.005,500,1,8,close,3,15.445333333333332,15.524,15.158,15.654,0.2571873506479924
lammps,intel-native,argon_block,weak,71,357911,0.8442,0.005,500,1,11,close,3,19.081666666666667,19.129,18.969,19.147,0.09798639361326225
lammps,intel-native,argon_block,weak,81,531441,0.8442,0.005,500,1,16,close,3,17.859666666666666,17.937,17.53,18.112,0.29860732297338693
lammps,intel-native,argon_block,weak,91,753571,0.8442,0.005,500,1,23,close,3,18.092666666666666,17.954,17.948,18.376,0.2453922030817881
lammps,intel-native,argon_block,weak,102,1061208,0.8442,0.005,500,1,32,close,3,19.902,19.911,19.873,19.922,0.02570992026436473
