label,category,config,benchmark_case,container,layout,vector_policy,implementation,workload,ns_per_interaction,interactions_per_second,real_time,cpu_time,time_unit,run_id,speedup_vs_lc_aos_scalar,speedup_vs_lc_soa_scalar,speedup_vs_april_directsum_aosoa_simd
APRIL LinkedCells AoS scalar,linked_cells_scalar,native,"BM_LinkedCells_UpdateForcesOnly<Layout::AoS, VectorPolicy::Scalar>/50/25",LinkedCells,AoS,Scalar,scalar,update_forces_only,3.3522068944419776,298310943.05605626,3189.5069392277805,3188.787814,ms,20260426_131439,1.0,1.2335032035468003,0.2754905641409838
APRIL LinkedCells SoA scalar,linked_cells_scalar,native,"BM_LinkedCells_UpdateForcesOnly<Layout::SoA, VectorPolicy::Scalar>/50/25",LinkedCells,SoA,Scalar,scalar,update_forces_only,4.13495794324585,241840428.3007101,3934.164604207168,3933.3799839999992,ms,20260426_131439,0.8106991511044414,1.0,0.2233399664863792
APRIL LinkedCells SoA SIMD,linked_cells_simd,native,"BM_LinkedCells_UpdateForcesOnly<Layout::SoA, VectorPolicy::Auto>/50/25",LinkedCells,SoA,Auto,april_auto_simd,update_forces_only,1.1228722019851145,890573297.8624907,1068.3526129035356,1068.132519000001,ms,20260426_131439,2.9853859491005696,3.682483132039158,0.8224456592962822
APRIL LinkedCells AoSoA SIMD,linked_cells_simd,native,"BM_LinkedCells_UpdateForcesOnly<Layout::AoSoA<>, VectorPolicy::Auto>/50/25",LinkedCells,AoSoA<,Auto,april_auto_simd,update_forces_only,1.079824637111808,926076295.7536198,1027.424023111486,1027.1835099999987,ms,20260426_131439,3.1043993434045722,3.829286535178124,0.8552327264334252
APRIL DirectSum SoA SIMD,direct_sum_simd,native,"BM_DirectSum_UpdateForcesOnly<Layout::SoA, VectorPolicy::Auto>/4000/200",DirectSum,SoA,Auto,april_auto_simd,update_forces_only,0.940596075268814,1063155616.2024268,1504.902610018909,1504.577481999995,ms,20260426_131439,3.563917586498484,4.396103760122661,0.9818256664564405
APRIL DirectSum AoSoA SIMD,direct_sum_simd,native,"BM_DirectSum_UpdateForcesOnly<Layout::AoSoA<>, VectorPolicy::Auto>/4000/200",DirectSum,AoSoA<,Auto,april_auto_simd,update_forces_only,0.9235013684671156,1082835428.4518943,1477.5233330673004,1477.2327889999983,ms,20260426_131439,3.6298883888024736,4.477478956105185,1.0
Manual Triangle SoA,manual_reference,native,BM_Manual_TriangleSoA/4000/200,Manual,,,manual,triangle_loop,0.9762718042010484,1024304907.4006292,1561.9781011229954,1561.6443779999968,ms,20260426_131439,3.4336819725991403,4.235457713161937,0.9459469837120631
Manual Triangle SoA explicit SIMD,manual_reference,native,BM_Manual_TriangleSoA_ExplicitSIMD/4000/200,Manual,,,explicit_simd,triangle_loop,0.8582870992748187,1165111302.3193717,1373.147813171278,1372.916044,ms,20260426_131439,3.9056941404272694,4.817686234291004,1.075981882108443
Manual absolute max perf,lower_bound_reference,native,BM_Manual_AbsoluteMaxPerf/7998000,Manual,,,manual,,0.6820517434046016,1466164421.7904851,5.456202553844079,5.455049843750004,ms,20260426_131439,4.9148864831116,6.062528221987026,1.3540048499213102
Manual realistic vector read,manual_reference,native,BM_Manual_RealisticVectorRead/7998000,Manual,,,manual,,1.7313478522691994,577584682.7599348,13.849978775303144,13.84732012244906,ms,20260426_131439,1.936183355671936,2.3882883718753267,0.5334002449344446
NOVEC APRIL DirectSum AoS scalar,novec_scalar,native-novec,"BM_DirectSum_UpdateForcesOnly<Layout::AoS, VectorPolicy::Scalar>/4000/200",DirectSum,AoS,Scalar,scalar,update_forces_only,3.2878813272068013,304147230.53570294,5260.027564130785,5259.294970999999,ms,20260426_132841,1.019564443127217,1.2576360068198318,0.28088038361520495
NOVEC APRIL DirectSum SoA scalar,novec_scalar,native-novec,"BM_DirectSum_UpdateForcesOnly<Layout::SoA, VectorPolicy::Scalar>/4000/200",DirectSum,SoA,Scalar,scalar,update_forces_only,4.075255123780944,245383410.271556,6519.787132043312,6518.778095999998,ms,20260426_132841,0.8225759596939943,1.0146500814431259,0.2266119151849096
NOVEC Manual Triangle AoS,novec_manual_reference,native-novec,BM_Manual_TriangleAoS/4000/200,Manual,,,manual,triangle_loop,1.7263072230557608,579271167.1737583,2761.833663903988,2761.401033999995,ms,20260426_132841,1.9418368003513238,2.3952619139984264,0.534957715598509
NOVEC Manual Triangle SoA,novec_manual_reference,native-novec,BM_Manual_TriangleSoA/4000/200,Manual,,,manual,triangle_loop,0.9986416729182296,1001360174.643825,1597.674283138765,1597.42722,ms,20260426_132841,3.356766481260653,4.140582208193536,0.9247574916120423
