engine,config,scenario,run_id,scaling,n,particles,rho,dt,steps,bx,by,bz,schedule,layout,executor,ordering,threads,total_cores,integration_time_s,performance_mups,mups_computed,avg_step_time_s,median_step_time_s,std_deviation_s,wall_time_seconds,speedup,parallel_efficiency
april,native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t1,20260426_153629,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,1,1,158.76076,3.15,3.149392834854154,0.317522,0.317399,0.000656,175.17855,1.0,1.0
april,native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t2,20260426_153629,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,2,2,80.10047,6.24,6.242160626523165,0.160201,0.160156,0.000507,88.814308,1.980952380952381,0.9904761904761905
april,native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t3,20260426_153629,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,3,3,53.74978,9.3,9.302363656186127,0.1075,0.107422,0.001073,59.840723,2.9523809523809526,0.9841269841269842
april,native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t4,20260426_153629,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,4,4,40.79396,12.26,12.256716435472311,0.081588,0.081559,0.000247,45.739566,3.892063492063492,0.973015873015873
april,native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t6,20260426_153629,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,6,6,27.54818,18.15,18.150019347920622,0.055096,0.055061,0.000211,31.022254,5.761904761904762,0.9603174603174603
april,native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t8,20260426_153629,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,8,8,20.94992,23.87,23.86643958544949,0.0419,0.041875,0.000138,23.76202,7.577777777777778,0.9472222222222223
april,native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t11,20260426_153629,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,11,11,15.53786,32.18,32.17946358121389,0.031076,0.031056,0.000178,17.833142,10.215873015873017,0.9287157287157288
april,native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t16,20260426_153629,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,16,16,11.16924,44.77,44.765803223854086,0.022338,0.022325,0.000113,13.040127,14.212698412698414,0.8882936507936509
april,native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t23,20260426_153629,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,23,23,8.27346,60.43,60.43420769545027,0.016547,0.016536,0.000139,9.860703,19.184126984126983,0.8340924775707385
april,native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t32,20260426_153629,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,32,32,6.39312,78.21,78.20907475536202,0.012786,0.01276,6.7e-05,7.799621,24.828571428571426,0.775892857142857
april,native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t37,20260426_153629,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,37,37,5.88313,84.99,84.98877298308892,0.011766,0.011644,0.000908,7.226158,26.98095238095238,0.7292149292149293
april,native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_b2x2x2_C08_SoA_OmpExecutor_hilbert_t45,20260426_153629,strong,100,1000000,0.8442,1e-07,500,2,2,2,C08,SoA,OmpExecutor,hilbert,45,45,5.29024,94.51,94.51367045729494,0.01058,0.010288,0.000579,6.567234,30.003174603174607,0.6667372134038801
