engine,kind,config,benchmark,scenario,run_id,scaling,mode,n,particles,rho,dt,steps,ranks,threads,total_cores,bind,loop_time_s,performance_mups,avg_step_time_s,timesteps_per_second,matom_step_per_second,cpu_use_percent,pair_time_s,neigh_time_s,comm_time_s,modify_time_s,total_neighbors,neighbor_list_builds,pair_ns_per_interaction,pair_interactions_per_second,wall_time_s,hostname,run_date,pkg_openmp,pkg_intel,extra_cxx_flags,lammps_commit,benchmark_repo_commit,command,result_dir,speedup,parallel_efficiency
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t1_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,1,1,close,69.2512,7.22,0.1385024,unknown,7.22,99.9,62.974,0.0,0.79675,3.7039,40000000.0,0.0,3.1487,317591386.9215867,81.007081,cm4r15c06s08,2026-04-26T17:34:15+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t1_bindclose/20260426_173411/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.0000001 -sf omp -pk omp 1,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t1_bindclose/20260426_173411,1.0,1.0
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t2_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,2,2,close,38.2928,13.057,0.0765856,unknown,13.057,199.4,32.885,0.0,0.9589,2.6044,40000000.0,0.0,1.6442499999999998,608180021.2863008,45.666081,cm4r15c06s08,2026-04-26T17:35:38+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t2_bindclose/20260426_173411/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.0000001 -sf omp -pk omp 2,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t2_bindclose/20260426_173411,1.808448753462604,0.904224376731302
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t3_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,3,3,close,27.3462,18.284,0.0546924,unknown,18.284,299.2,22.231,0.0,1.0017,2.238,40000000.0,0.0,1.11155,899644640.3670549,33.114548,cm4r15c06s08,2026-04-26T17:36:26+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t3_bindclose/20260426_173411/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.0000001 -sf omp -pk omp 3,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t3_bindclose/20260426_173411,2.532409972299169,0.8441366574330563
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t4_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,4,4,close,21.8439,22.89,0.0436878,unknown,22.89,398.6,16.978,0.0,1.0304,1.9751,40000000.0,0.0,0.8489000000000001,1177995052.4207797,26.855978,cm4r15c06s08,2026-04-26T17:37:01+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t4_bindclose/20260426_173411/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.0000001 -sf omp -pk omp 4,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t4_bindclose/20260426_173411,3.1703601108033244,0.7925900277008311
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t6_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,6,6,close,16.4822,30.336,0.0329644,unknown,30.336,597.7,11.763,0.0,1.0468,1.8021,40000000.0,0.0,0.58815,1700246535.7476835,20.743641,cm4r15c06s08,2026-04-26T17:37:30+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t6_bindclose/20260426_173411/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.0000001 -sf omp -pk omp 6,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t6_bindclose/20260426_173411,4.201662049861496,0.7002770083102493
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t8_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,8,8,close,13.9699,35.791,0.0279398,unknown,35.791,796.4,9.2166,0.0,1.0701,1.8053,40000000.0,0.0,0.46083,2169997613.002626,17.894594,cm4r15c06s08,2026-04-26T17:37:53+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t8_bindclose/20260426_173411/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.0000001 -sf omp -pk omp 8,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t8_bindclose/20260426_173411,4.957202216066482,0.6196502770083102
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t11_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,11,11,close,12.1436,41.174,0.0242872,unknown,41.174,1093.9,7.2754,0.0,1.0632,1.9229,40000000.0,0.0,0.36377,2748989746.268246,15.820554,cm4r15c06s08,2026-04-26T17:38:13+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t11_bindclose/20260426_173411/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.0000001 -sf omp -pk omp 11,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t11_bindclose/20260426_173411,5.702770083102493,0.5184336439184084
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t16_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,16,16,close,11.1457,44.86,0.0222914,unknown,44.86,1589.9,5.9085,0.0,1.0598,2.2845,40000000.0,0.0,0.295425,3384953880.003385,14.725693,cm4r15c06s08,2026-04-26T17:38:30+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t16_bindclose/20260426_173411/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.0000001 -sf omp -pk omp 16,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t16_bindclose/20260426_173411,6.213296398891967,0.38833102493074795
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t23_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,23,23,close,11.284,44.311,0.022568,unknown,44.311,2286.3,5.4013,0.0,1.0658,2.9029,40000000.0,0.0,0.270065,3702812285.9311647,14.938092,cm4r15c06s08,2026-04-26T17:38:47+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t23_bindclose/20260426_173411/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.0000001 -sf omp -pk omp 23,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t23_bindclose/20260426_173411,6.137257617728532,0.2668372877273275
lammps,scaling,openmp-native,argon_block,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t32_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,32,32,close,12.2864,40.695,0.0245728,unknown,40.695,3183.7,5.7515,0.0,1.1008,3.472,40000000.0,0.0,0.287575,3477353733.808572,16.119808,cm4r15c06s08,2026-04-26T17:39:04+02:00,ON,OFF,-O3 -DNDEBUG -fno-math-errno -ffast-math -fopenmp -march=native,unknown,unknown,build/lammps-openmp-native/install/bin/lmp -in engines/lammps/argon_block.in -var datafile results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t32_bindclose/20260426_173411/argon_grid_n100_rho0.8442.data -var rho 0.8442 -var n 100 -var steps 500 -var dt 0.0000001 -sf omp -pk omp 32,results/lammps/openmp-native/argon_block/strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t32_bindclose/20260426_173411,5.636426592797784,0.17613833102493076
