engine,config,scenario,run_id,scaling,mode,n,particles,rho,dt,steps,ranks,threads,total_cores,loop_time_s,pair_time_s,neigh_time_s,comm_time_s,modify_time_s,neighbor_list_builds,total_neighbors,pair_ns_per_interaction,performance_mups,pair_percent,neigh_percent,comm_percent,modify_percent,known_timing_time_s,known_timing_percent,other_time_s,other_percent
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t1_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,1,1,69.2512,62.974,0.0,0.79675,3.7039,0.0,40000000.0,3.1487,7.22,90.93560833602884,0.0,1.1505215794094543,5.348499376184095,67.47465,97.43462929162239,1.7765500000000003,2.565370708377617
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t2_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,2,2,38.2928,32.885,0.0,0.9589,2.6044,0.0,40000000.0,1.6442499999999998,13.057,85.87776292148916,0.0,2.5041261020348475,6.801278569339406,36.448299999999996,95.1831675928634,1.8445000000000036,4.816832407136599
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t3_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,3,3,27.3462,22.231,0.0,1.0017,2.238,0.0,40000000.0,1.11155,18.284,81.2946588557094,0.0,3.6630317923514055,8.183952432147795,25.4707,93.1416430802086,1.8754999999999988,6.858356919791412
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t4_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,4,4,21.8439,16.978,0.0,1.0304,1.9751,0.0,40000000.0,0.8489000000000001,22.89,77.72421591382492,0.0,4.71710637752416,9.041883546436305,19.983500000000003,91.48320583778539,1.8603999999999985,8.516794162214616
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t6_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,6,6,16.4822,11.763,0.0,1.0468,1.8021,0.0,40000000.0,0.58815,30.336,71.36789991627332,0.0,6.351093907366735,10.933613231243402,14.611899999999999,88.65260705488345,1.8703000000000003,11.347392945116553
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t8_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,8,8,13.9699,9.2166,0.0,1.0701,1.8053,0.0,40000000.0,0.46083,35.791,65.97470275377776,0.0,7.660040515680141,12.922783985568973,12.091999999999999,86.55752725502686,1.8779000000000021,13.442472744973136
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t11_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,11,11,12.1436,7.2754,0.0,1.0632,1.9229,0.0,40000000.0,0.36377,41.174,59.91139365591753,0.0,8.75522909186732,15.834678349089232,10.2615,84.50130109687409,1.8820999999999994,15.498698903125923
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t16_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,16,16,11.1457,5.9085,0.0,1.0598,2.2845,0.0,40000000.0,0.295425,44.86,53.011475277461265,0.0,9.508599729043489,20.496693792224804,9.2528,83.01676879872956,1.8928999999999991,16.98323120127044
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t23_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,23,23,11.284,5.4013,0.0,1.0658,2.9029,0.0,40000000.0,0.270065,44.311,47.866891173342786,0.0,9.445232187167672,25.725806451612897,9.370000000000001,83.03792981212337,1.9139999999999997,16.962070187876638
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t32_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,32,32,12.2864,5.7515,0.0,1.1008,3.472,0.0,40000000.0,0.287575,40.695,46.81192212527672,0.0,8.959499934887354,28.258887876025522,10.3243,84.0303099361896,1.9621000000000013,15.9696900638104
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t37_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,37,37,12.6255,6.1011,0.0,1.1305,3.4078,0.0,40000000.0,0.305055,39.602,48.32363074729714,0.0,8.954100827689993,26.991406280939366,10.6394,84.2691378559265,1.9861000000000004,15.730862144073505
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t45_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,45,45,13.4379,6.8843,0.0,1.1494,3.3636,0.0,40000000.0,0.344215,37.208,51.23047499981395,0.0,8.553419805177892,25.030696760654568,11.3973,84.81459156564641,2.0406000000000013,15.18540843435359
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t50_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,50,50,14.724,7.6305,0.0,1.1916,3.7401,0.0,40000000.0,0.381525,33.958,51.82355338223309,0.0,8.092909535452323,25.401385493072535,12.562199999999999,85.31784841075793,2.1618000000000013,14.682151589242062
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.0000001_steps500_threads_r1_t56_bindclose,20260426_173411,strong,threads,100,1000000,0.8442,1e-07,500,1,56,56,16.7072,8.6019,0.0,1.3108,4.3719,0.0,40000000.0,0.430095,29.927,51.486185596629,0.0,7.845719210879141,26.167760007661368,14.284600000000001,85.49966481516951,2.422599999999999,14.500335184830488
lammps,openmp-native,strong_n100_p1000000_rho0.8442_dt0.005_steps500_threads_r1_t1_bindclose,20260426_163052,strong,threads,100,1000000,0.8442,0.005,500,1,1,1,267.794,147.36,112.59,1.8875,4.1931,84.0,37710977.0,7.81523109305813,1.867,55.02737178577564,42.043511057006505,0.7048328192565928,1.5657931096290434,266.03060000000005,99.3415087716678,1.7633999999999332,0.6584912283322006
