Timestamp,Label,Particles,Threads,Steps,Integration_s,MUPS,Avg_s,Median_s,P05_s,P99_s,StdDev_s
2026-04-21 20:01:11.703108460,Argon_n32_rho0.8442_SoA_NativeSpinExecutor_C08_2x2x2,32768,1,1000,11.628,2.81803,0.011628,0.011712,0.0108196,0.0119677,0.000301289
2026-04-21 20:01:19.169984991,Argon_n32_rho0.8442_SoA_NativeSpinExecutor_C08_2x2x2,32768,2,1000,6.73194,4.86754,0.00673194,0.00679983,0.00612854,0.00692766,0.000226492
2026-04-21 20:01:24.423663651,Argon_n32_rho0.8442_SoA_NativeSpinExecutor_C08_2x2x2,32768,3,1000,4.69627,6.97745,0.00469627,0.00475312,0.00419963,0.00482934,0.000181983
2026-04-21 20:01:27.903765974,Argon_n32_rho0.8442_SoA_NativeSpinExecutor_C08_2x2x2,32768,5,1000,3.07183,10.6672,0.00307183,0.00311521,0.00268074,0.00316908,0.000145137
2026-04-21 20:01:30.401462088,Argon_n32_rho0.8442_SoA_NativeSpinExecutor_C08_2x2x2,32768,8,1000,2.16907,15.1069,0.00216907,0.0022099,0.00184748,0.00224921,0.00012415
2026-04-21 20:01:32.357439129,Argon_n32_rho0.8442_SoA_NativeSpinExecutor_C08_2x2x2,32768,12,1000,1.6766,19.5443,0.0016766,0.00171,0.00138764,0.00174822,0.000106032
2026-04-21 20:01:33.937702450,Argon_n32_rho0.8442_SoA_NativeSpinExecutor_C08_2x2x2,32768,18,1000,1.33487,24.5477,0.00133487,0.00137248,0.00107249,0.00140701,0.000108518
2026-04-21 20:01:35.227617708,Argon_n32_rho0.8442_SoA_NativeSpinExecutor_C08_2x2x2,32768,27,1000,1.06634,30.7294,0.00106634,0.00109887,0.000798202,0.00122312,0.000107522
2026-04-21 20:01:36.574311547,Argon_n32_rho0.8442_SoA_NativeSpinExecutor_C08_2x2x2,32768,32,1000,1.11296,29.4421,0.00111296,0.00114243,0.000826409,0.00124714,0.000107848
2026-04-21 20:01:38.210375269,Argon_n16_rho0.8442_SoA_NativeSpinExecutor_C08_2x2x2,4096,1,1000,1.38386,2.95983,0.00138386,0.00136297,0.00132564,0.00147627,5.04049e-05
2026-04-21 20:01:40.237999156,Argon_n20_rho0.8442_SoA_NativeSpinExecutor_C08_2x2x2,8000,2,1000,1.74048,4.59643,0.00174048,0.00180509,0.00158758,0.0018773,0.000109023
2026-04-21 20:01:42.490481660,Argon_n23_rho0.8442_SoA_NativeSpinExecutor_C08_2x2x2,12167,3,1000,1.94215,6.2647,0.00194215,0.00200478,0.00176865,0.00206793,0.000113114
2026-04-21 20:01:44.774523220,Argon_n27_rho0.8442_SoA_NativeSpinExecutor_C08_2x2x2,19683,5,1000,1.96917,9.99557,0.00196917,0.002028,0.00175445,0.00206129,0.000115961
2026-04-21 20:01:47.294154058,Argon_n32_rho0.8442_SoA_NativeSpinExecutor_C08_2x2x2,32768,8,1000,2.17589,15.0596,0.00217589,0.00222278,0.00186795,0.00228527,0.000126575
2026-04-21 20:01:50.211017712,Argon_n37_rho0.8442_SoA_NativeSpinExecutor_C08_2x2x2,50653,12,1000,2.54028,19.9399,0.00254028,0.00256116,0.00248675,0.00262933,9.86883e-05
2026-04-21 20:01:53.205770988,Argon_n42_rho0.8442_SoA_NativeSpinExecutor_C08_2x2x2,74088,18,1000,2.59817,28.5154,0.00259817,0.00261468,0.00256753,0.00271424,0.000121618
2026-04-21 20:01:56.470565319,Argon_n48_rho0.8442_SoA_NativeSpinExecutor_C08_2x2x2,110592,27,1000,2.82483,39.15,0.00282483,0.0028282,0.00278186,0.00291942,0.000127485
2026-04-21 20:02:00.071132733,Argon_n51_rho0.8442_SoA_NativeSpinExecutor_C08_2x2x2,132651,32,1000,3.11453,42.5911,0.00311453,0.00311683,0.00308747,0.00321301,0.000151265
