Label,Particles,Threads,Steps,Integration_s,MUPS,Avg_s,Median_s,P05_s,P99_s,StdDev_s
rho0.80_n100_t1,1000000,1,30,9.09321,3.29917,0.303107,0.308782,0.220278,0.395665,0.0404234
rho0.80_n100_t2,1000000,2,30,4.61399,6.50196,0.1538,0.156487,0.112015,0.203474,0.0216557
rho0.80_n100_t3,1000000,3,30,3.09638,9.68873,0.103213,0.104338,0.0737415,0.139992,0.0154837
rho0.80_n100_t4,1000000,4,40,3.3897,11.8005,0.0847424,0.081466,0.0667405,0.113694,0.0144756
rho0.80_n100_t6,1000000,6,60,3.88248,15.454,0.064708,0.0716735,0.0463011,0.0813763,0.0124958
rho0.80_n100_t8,1000000,8,80,4.22894,18.9173,0.0528617,0.0595074,0.0384146,0.0627872,0.00970038
rho0.80_n100_t11,1000000,11,110,4.66193,23.5954,0.0423812,0.0466653,0.0288948,0.0491585,0.00771549
rho0.80_n100_t16,1000000,16,160,5.45787,29.3154,0.0341117,0.036049,0.0214312,0.0395649,0.0054332
rho0.80_n100_t23,1000000,23,230,8.61603,26.6944,0.037461,0.0383816,0.0225862,0.0412279,0.00440872
rho0.80_n100_t32,1000000,32,320,10.4883,30.5101,0.032776,0.0329403,0.0325076,0.036617,0.00267718
