Label,Particles,Threads,Steps,Integration_s,MUPS,Avg_s,Median_s,P05_s,P99_s,StdDev_s
rho0.20_n40_t1,64000,1,937,25.5638,2.34582,0.0272826,0.0272835,0.0272003,0.0274453,0.000140213
rho0.20_n40_t2,64000,2,1875,27.9054,4.30024,0.0148829,0.0148513,0.0147434,0.0151914,0.000125942
rho0.20_n40_t3,64000,3,2812,30.9902,5.80726,0.0110207,0.0110165,0.0108674,0.0111959,0.000350447
rho0.20_n40_t4,64000,4,3750,34.1536,7.02709,0.00910762,0.00910987,0.00895521,0.00930176,9.27242e-05
rho0.20_n40_t6,64000,6,10000,69.6863,9.18402,0.00696863,0.00696891,0.00686256,0.00708109,0.00025685
rho0.20_n40_t8,64000,8,10000,57.8303,11.0669,0.00578303,0.00578434,0.00570662,0.00586939,0.000176196
rho0.20_n40_t11,64000,11,10000,49.5665,12.9119,0.00495665,0.00495604,0.00489547,0.00504497,3.94456e-05
rho0.20_n40_t16,64000,16,10000,43.1984,14.8154,0.00431984,0.00431982,0.00426928,0.00439176,3.08496e-05
rho0.20_n40_t23,64000,23,10000,46.274,13.8307,0.0046274,0.00462728,0.00456558,0.00471384,3.75133e-05
rho0.20_n40_t32,64000,32,10000,44.6772,14.325,0.00446772,0.00446733,0.00442811,0.00452384,2.44664e-05
rho0.20_n60_t1,216000,1,277,27.9191,2.14305,0.100791,0.103281,0.0796376,0.109312,0.00882262
rho0.20_n60_t2,216000,2,555,29.809,4.0216,0.05371,0.0539454,0.0533091,0.0561967,0.00241328
rho0.20_n60_t3,216000,3,833,31.5504,5.70288,0.0378756,0.037838,0.0373777,0.0388254,0.000343926
rho0.20_n60_t4,216000,4,1111,36.8941,6.50446,0.033208,0.0329947,0.0298476,0.0409898,0.00223109
rho0.20_n60_t6,216000,6,1666,41.1045,8.75465,0.0246726,0.0245498,0.0230127,0.0273072,0.00112208
rho0.20_n60_t8,216000,8,2222,44.666,10.7453,0.0201017,0.020089,0.0186709,0.0222164,0.000968304
rho0.20_n60_t11,216000,11,3055,51.3987,12.8385,0.0168245,0.0168287,0.015482,0.0186176,0.000875236
rho0.20_n60_t16,216000,16,4444,63.1156,15.2087,0.0142024,0.0142463,0.0127486,0.0163721,0.000928382
rho0.20_n60_t23,216000,23,10000,148.832,14.513,0.0148832,0.014942,0.0135638,0.016558,0.000820633
rho0.20_n60_t32,216000,32,10000,132.826,16.2618,0.0132826,0.0133376,0.0122195,0.014615,0.00064573
rho0.20_n80_t1,512000,1,117,34.2565,1.74869,0.29279,0.319638,0.236569,0.341807,0.0424397
rho0.20_n80_t2,512000,2,234,39.1224,3.06239,0.16719,0.174586,0.124136,0.181348,0.0185933
rho0.20_n80_t3,512000,3,351,41.0803,4.37465,0.117038,0.119914,0.0835132,0.127754,0.0112396
rho0.20_n80_t4,512000,4,468,42.8778,5.58834,0.0916193,0.0926942,0.08695,0.0998424,0.00687723
rho0.20_n80_t6,512000,6,703,46.5076,7.73929,0.0661559,0.0661147,0.0626155,0.0717493,0.00288006
rho0.20_n80_t8,512000,8,937,50.5707,9.48659,0.0539709,0.0538453,0.0503742,0.0593188,0.00241415
rho0.20_n80_t11,512000,11,1289,56.048,11.7751,0.0434817,0.0434389,0.040192,0.0481427,0.00223405
rho0.20_n80_t16,512000,16,1875,66.1904,14.5036,0.0353015,0.0355073,0.0326125,0.0382481,0.00155194
rho0.20_n80_t23,512000,23,2695,99.204,13.9091,0.0368104,0.0370215,0.0340877,0.0398912,0.00166536
rho0.20_n80_t32,512000,32,3750,123.539,15.5416,0.0329438,0.0330096,0.0309781,0.035364,0.00110782
rho0.20_n100_t1,1000000,1,100,57.9755,1.72487,0.579755,0.627425,0.465421,0.700094,0.0897591
rho0.20_n100_t2,1000000,2,119,36.6296,3.24874,0.307812,0.342652,0.237828,0.396435,0.0500542
rho0.20_n100_t3,1000000,3,179,39.9188,4.4841,0.22301,0.238031,0.163794,0.296152,0.0314514
rho0.20_n100_t4,1000000,4,239,42.2784,5.653,0.176897,0.185124,0.125882,0.194792,0.022241
rho0.20_n100_t6,1000000,6,359,46.5661,7.70948,0.129711,0.132635,0.0871636,0.140794,0.0132478
rho0.20_n100_t8,1000000,8,479,50.8258,9.42434,0.106108,0.107539,0.10085,0.115739,0.00889901
rho0.20_n100_t11,1000000,11,659,57.3775,11.4853,0.0870676,0.0869956,0.0813307,0.0961229,0.00434139
rho0.20_n100_t16,1000000,16,959,67.9471,14.1139,0.070852,0.0713235,0.0651753,0.0771292,0.00348266
rho0.20_n100_t23,1000000,23,1379,100.39,13.7364,0.0727991,0.0728979,0.0680855,0.0783021,0.00261468
rho0.20_n100_t32,1000000,32,1919,122.639,15.6476,0.0639076,0.0638921,0.0607267,0.0683044,0.00193954
rho0.20_n140_t2,2744000,2,100,83.3887,3.29061,0.833887,0.915467,0.65171,1.21342,0.144603
rho0.20_n140_t3,2744000,3,100,57.719,4.75407,0.57719,0.661534,0.433012,0.848823,0.108147
rho0.20_n140_t4,2744000,4,100,44.21,6.20675,0.4421,0.499408,0.329844,0.684183,0.0918298
rho0.20_n140_t6,2744000,6,131,42.7667,8.40523,0.326463,0.368688,0.225321,0.387442,0.0678235
rho0.20_n140_t8,2744000,8,174,47.5561,10.0399,0.273311,0.29765,0.17657,0.313294,0.0516354
rho0.20_n140_t11,2744000,11,240,54.6561,12.0492,0.227734,0.24104,0.135477,0.254576,0.0388426
rho0.20_n140_t16,2744000,16,349,65.9915,14.5118,0.189087,0.195042,0.102038,0.205311,0.0274137
rho0.20_n140_t23,2744000,23,502,98.5717,13.9745,0.196358,0.197773,0.18857,0.209817,0.0140779
rho0.20_n140_t32,2744000,32,699,120.102,15.9703,0.171819,0.172042,0.165345,0.179654,0.00368444
rho0.20_n170_t3,4913000,3,100,102.628,4.78719,1.02628,1.12962,0.787924,1.53534,0.196676
rho0.20_n170_t4,4913000,4,100,79.449,6.18384,0.79449,0.901253,0.599268,1.25128,0.162929
rho0.20_n170_t6,4913000,6,100,56.4332,8.70587,0.564332,0.652028,0.406442,0.962862,0.134854
rho0.20_n170_t8,4913000,8,100,45.0255,10.9116,0.450255,0.532029,0.308941,0.837009,0.114902
rho0.20_n170_t11,4913000,11,134,51.0498,12.8961,0.380968,0.43706,0.240766,0.457953,0.095798
rho0.20_n170_t16,4913000,16,195,62.5126,15.3255,0.320578,0.349049,0.175824,0.374891,0.0710037
rho0.20_n170_t23,4913000,23,280,86.9431,15.8223,0.310511,0.3182,0.18034,0.377525,0.0513908
rho0.20_n170_t32,4913000,32,390,103.22,18.563,0.264666,0.272934,0.12504,0.282842,0.033826
rho0.20_n200_t4,8000000,4,100,124.197,6.44139,1.24197,1.42857,0.921209,1.85705,0.239946
rho0.20_n200_t6,8000000,6,100,87.1285,9.18184,0.871285,1.02068,0.612009,1.4603,0.195456
rho0.20_n200_t8,8000000,8,100,68.6818,11.6479,0.686818,0.815158,0.466023,1.27965,0.173941
rho0.20_n200_t11,8000000,11,100,53.3177,15.0044,0.533177,0.644682,0.343541,1.12609,0.154357
rho0.20_n200_t16,8000000,16,119,50.4709,18.8624,0.424125,0.501319,0.248571,0.791331,0.135743
rho0.20_n200_t23,8000000,23,172,78.8517,17.4505,0.45844,0.501959,0.251607,0.568456,0.106583
rho0.20_n200_t32,8000000,32,239,97.235,19.6637,0.406841,0.430698,0.197668,0.462658,0.0820112
rho0.80_n40_t1,64000,1,937,24.3152,2.46628,0.02595,0.0259614,0.0256608,0.0266732,0.000171299
rho0.80_n40_t2,64000,2,1875,28.0806,4.27342,0.0149763,0.0149642,0.0147797,0.0153137,0.000143681
rho0.80_n40_t3,64000,3,2812,31.744,5.66936,0.0112888,0.0112957,0.0111012,0.0115089,0.000106859
rho0.80_n40_t4,64000,4,3750,32.9679,7.27982,0.00879143,0.0087783,0.00865156,0.00900286,0.000194283
rho0.80_n40_t6,64000,6,10000,67.6041,9.46688,0.00676041,0.00674577,0.00662938,0.00737645,0.00018725
