Label,Particles,Threads,Steps,Integration_s,MUPS,Avg_s,Median_s,P05_s,P99_s,StdDev_s
rho0.80_n100_t1,1000000,1,30,9.04461,3.31689,0.301487,0.307748,0.221871,0.393806,0.0403563
rho0.80_n100_t2,1000000,2,30,4.62211,6.49054,0.15407,0.155499,0.110848,0.202192,0.0213225
rho0.80_n100_t3,1000000,3,30,3.086,9.72132,0.102867,0.103321,0.0754483,0.140756,0.0152597
rho0.80_n100_t4,1000000,4,40,3.37622,11.8476,0.0844055,0.0803476,0.0668762,0.112244,0.0145797
rho0.80_n100_t6,1000000,6,60,3.86384,15.5286,0.0643974,0.0713241,0.0453829,0.0808465,0.0129412
rho0.80_n100_t8,1000000,8,80,4.21267,18.9903,0.0526584,0.0593201,0.0376636,0.0644144,0.0101433
rho0.80_n100_t11,1000000,11,110,4.65094,23.6511,0.0422813,0.0466212,0.0284698,0.0495351,0.00775607
rho0.80_n100_t16,1000000,16,160,5.42697,29.4824,0.0339186,0.0358482,0.0211843,0.0388581,0.00543622
rho0.80_n100_t23,1000000,23,230,8.59872,26.7482,0.0373857,0.0384211,0.0225148,0.041374,0.00443305
rho0.80_n100_t32,1000000,32,320,10.4351,30.6658,0.0326096,0.032865,0.0326192,0.0352799,0.00238078
