engine,config,benchmark,scaling,n_dim,particles,rho,dt,steps,block_x,block_y,block_z,cell_config,layout,executor,ordering,threads,n_reps,performance_mups_mean,performance_mups_median,performance_mups_min,performance_mups_max,performance_mups_stddev,label,cores,mups_mean,mups_min,mups_max,mups_std,runs,atoms,ranks,bind,matom_step_per_second_mean,matom_step_per_second_median,matom_step_per_second_min,matom_step_per_second_max,matom_step_per_second_stddev,requested_dt
april,native,argon_block,strong,100,1000000.0,0.8442,1e-07,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,1,3,4.6466666666666665,4.65,4.63,4.66,0.0152752523165196,APRIL,1,4.6466666666666665,4.63,4.66,0.0152752523165196,3,,,,,,,,,1e-07
april,native,argon_block,strong,100,1000000.0,0.8442,1e-07,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,2,3,9.173333333333334,9.19,9.13,9.2,0.037859388972001,APRIL,2,9.173333333333334,9.13,9.2,0.037859388972001,3,,,,,,,,,1e-07
april,native,argon_block,strong,100,1000000.0,0.8442,1e-07,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,3,3,13.596666666666668,13.59,13.57,13.63,0.0305505046330392,APRIL,3,13.596666666666668,13.57,13.63,0.0305505046330392,3,,,,,,,,,1e-07
april,native,argon_block,strong,100,1000000.0,0.8442,1e-07,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,4,3,17.843333333333334,17.85,17.83,17.85,0.0115470053837943,APRIL,4,17.843333333333334,17.83,17.85,0.0115470053837943,3,,,,,,,,,1e-07
april,native,argon_block,strong,100,1000000.0,0.8442,1e-07,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,6,3,26.186666666666667,26.19,26.17,26.2,0.0152752523165183,APRIL,6,26.186666666666667,26.17,26.2,0.0152752523165183,3,,,,,,,,,1e-07
april,native,argon_block,strong,100,1000000.0,0.8442,1e-07,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,8,3,33.86,33.99,33.53,34.06,0.28792360097776,APRIL,8,33.86,33.53,34.06,0.28792360097776,3,,,,,,,,,1e-07
april,native,argon_block,strong,100,1000000.0,0.8442,1e-07,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,11,3,44.85,45.11,44.26,45.18,0.512152321092076,APRIL,11,44.85,44.26,45.18,0.512152321092076,3,,,,,,,,,1e-07
april,native,argon_block,strong,100,1000000.0,0.8442,1e-07,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,16,3,61.35,61.32,61.29,61.44,0.0793725393319366,APRIL,16,61.35,61.29,61.44,0.0793725393319366,3,,,,,,,,,1e-07
april,native,argon_block,strong,100,1000000.0,0.8442,1e-07,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,23,3,79.72333333333333,79.66,79.62,79.89,0.1457166199626287,APRIL,23,79.72333333333333,79.62,79.89,0.1457166199626287,3,,,,,,,,,1e-07
april,native,argon_block,strong,100,1000000.0,0.8442,1e-07,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,32,3,100.39666666666668,100.43,99.9,100.86,0.4808672720547017,APRIL,32,100.39666666666668,99.9,100.86,0.4808672720547017,3,,,,,,,,,1e-07
april,native,argon_block,strong,100,1000000.0,0.8442,1e-07,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,37,3,108.44666666666669,108.43,108.23,108.68,0.225462487641146,APRIL,37,108.44666666666669,108.23,108.68,0.225462487641146,3,,,,,,,,,1e-07
april,native,argon_block,strong,100,1000000.0,0.8442,1e-07,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,45,3,117.41,117.66,116.54,118.03,0.775822144566649,APRIL,45,117.41,116.54,118.03,0.775822144566649,3,,,,,,,,,1e-07
april,native,argon_block,strong,100,1000000.0,0.8442,1e-07,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,50,3,124.97333333333331,125.19,124.38,125.35,0.5200320502943385,APRIL,50,124.97333333333331,124.38,125.35,0.5200320502943385,3,,,,,,,,,1e-07
april,native,argon_block,strong,100,1000000.0,0.8442,1e-07,500,2.0,2.0,2.0,C08,SoA,OmpExecutor,hilbert,56,3,127.86333333333332,127.91,127.47,128.21,0.3722006627255469,APRIL,56,127.86333333333332,127.47,128.21,0.3722006627255469,3,,,,,,,,,1e-07
lammps,openmp-native,argon_block,strong,100,,0.8442,1e-07,500,,,,,,,,1,3,,,,,,LAMMPS openmp,1,7.217333333333333,7.188,7.235,0.0255799400572665,3,1000000.0,1.0,close,7.217333333333333,7.229,7.188,7.235,0.0255799400572665,1e-07
lammps,openmp-native,argon_block,strong,100,,0.8442,1e-07,500,,,,,,,,2,3,,,,,,LAMMPS openmp,2,13.072,13.059,13.086,0.0135277492584691,3,1000000.0,1.0,close,13.072,13.071,13.059,13.086,0.0135277492584691,1e-07
lammps,openmp-native,argon_block,strong,100,,0.8442,1e-07,500,,,,,,,,3,3,,,,,,LAMMPS openmp,3,18.303,18.295,18.316,0.0113578166915997,3,1000000.0,1.0,close,18.303,18.298,18.295,18.316,0.0113578166915997,1e-07
lammps,openmp-native,argon_block,strong,100,,0.8442,1e-07,500,,,,,,,,4,3,,,,,,LAMMPS openmp,4,22.90533333333333,22.854,22.948,0.0475955179962715,3,1000000.0,1.0,close,22.90533333333333,22.914,22.854,22.948,0.0475955179962715,1e-07
lammps,openmp-native,argon_block,strong,100,,0.8442,1e-07,500,,,,,,,,6,3,,,,,,LAMMPS openmp,6,30.262666666666668,30.225,30.301,0.0380043857118256,3,1000000.0,1.0,close,30.262666666666668,30.262,30.225,30.301,0.0380043857118256,1e-07
lammps,openmp-native,argon_block,strong,100,,0.8442,1e-07,500,,,,,,,,8,3,,,,,,LAMMPS openmp,8,35.781666666666666,35.747,35.804,0.0304357246231027,3,1000000.0,1.0,close,35.781666666666666,35.794,35.747,35.804,0.0304357246231027,1e-07
lammps,openmp-native,argon_block,strong,100,,0.8442,1e-07,500,,,,,,,,11,3,,,,,,LAMMPS openmp,11,41.20733333333333,41.127,41.318,0.0990471268302766,3,1000000.0,1.0,close,41.20733333333333,41.177,41.127,41.318,0.0990471268302766,1e-07
lammps,openmp-native,argon_block,strong,100,,0.8442,1e-07,500,,,,,,,,16,3,,,,,,LAMMPS openmp,16,44.659333333333336,44.548,44.719,0.0965004317779621,3,1000000.0,1.0,close,44.659333333333336,44.711,44.548,44.719,0.0965004317779621,1e-07
lammps,openmp-native,argon_block,strong,100,,0.8442,1e-07,500,,,,,,,,23,3,,,,,,LAMMPS openmp,23,44.08,44.03,44.124,0.0472863616701479,3,1000000.0,1.0,close,44.08,44.086,44.03,44.124,0.0472863616701479,1e-07
lammps,openmp-native,argon_block,strong,100,,0.8442,1e-07,500,,,,,,,,32,3,,,,,,LAMMPS openmp,32,40.64666666666667,40.605,40.705,0.0520416499866532,3,1000000.0,1.0,close,40.64666666666667,40.63,40.605,40.705,0.0520416499866532,1e-07
lammps,openmp-native,argon_block,strong,100,,0.8442,1e-07,500,,,,,,,,37,3,,,,,,LAMMPS openmp,37,39.836333333333336,39.755,39.912,0.0786532474430207,3,1000000.0,1.0,close,39.836333333333336,39.842,39.755,39.912,0.0786532474430207,1e-07
