Timestamp,Label,Particles,Threads,Steps,Integration_s,MUPS,Avg_s,Median_s,P05_s,P99_s,StdDev_s
2026-04-23 17:48:43.185125,Argon_n32_rho0.8442_SoA_OmpExecutor_C08_hilbert_2x2x2,32768,1,500,5.74109,2.85381,0.0114822,0.0114724,0.011236,0.0119108,0.000298293
2026-04-23 17:48:50.166895,Argon_n40_rho0.8442_SoA_OmpExecutor_C08_hilbert_2x2x2,64000,2,500,6.21438,5.14935,0.0124288,0.012441,0.0121341,0.0131005,0.000356501
2026-04-23 17:48:57.667579,Argon_n46_rho0.8442_SoA_OmpExecutor_C08_hilbert_2x2x2,97336,3,500,6.66269,7.30455,0.0133254,0.0133235,0.0130129,0.0146233,0.000403601
2026-04-23 17:49:10.453073,Argon_n51_rho0.8442_SoA_OmpExecutor_C08_hilbert_2x2x2,132651,4,500,6.83152,9.70875,0.013663,0.0136833,0.0133556,0.0142908,0.000398231
2026-04-23 17:49:18.549337,Argon_n58_rho0.8442_SoA_OmpExecutor_C08_hilbert_2x2x2,195112,6,500,7.15733,13.6302,0.0143147,0.014347,0.0138448,0.0145104,0.000505211
2026-04-23 17:49:26.834167,Argon_n64_rho0.8442_SoA_OmpExecutor_C08_hilbert_2x2x2,262144,8,500,7.2953,17.9666,0.0145906,0.0145065,0.0142246,0.0153447,0.000512131
2026-04-23 17:49:35.580907,Argon_n71_rho0.8442_SoA_OmpExecutor_C08_hilbert_2x2x2,357911,11,500,7.66373,23.351,0.0153275,0.0153212,0.0150438,0.0155453,0.000445619
2026-04-23 17:49:45.469037,Argon_n81_rho0.8442_SoA_OmpExecutor_C08_hilbert_2x2x2,531441,16,500,8.58731,30.9434,0.0171746,0.017056,0.016819,0.0175892,0.000921616
2026-04-23 17:49:56.241991,Argon_n91_rho0.8442_SoA_OmpExecutor_C08_hilbert_2x2x2,753571,23,500,9.2868,40.5722,0.0185736,0.0187938,0.0178326,0.0190718,0.000801298
2026-04-23 17:50:09.062015,Argon_n102_rho0.8442_SoA_OmpExecutor_C08_hilbert_2x2x2,1061208,32,500,11.0605,47.9727,0.0221211,0.0226679,0.020369,0.0229694,0.00112518
2026-04-23 17:50:25.097901,Argon_n114_rho0.8442_SoA_OmpExecutor_C08_hilbert_2x2x2,1481544,45,500,13.9034,53.2797,0.0278069,0.0283612,0.0244933,0.0288043,0.00141776
2026-04-23 17:50:43.227416,Argon_n122_rho0.8442_SoA_OmpExecutor_C08_hilbert_2x2x2,1815848,56,500,15.6336,58.0752,0.0312672,0.0310902,0.0298555,0.0360167,0.00142364
2026-04-23 18:04:55.495290,Argon_n32_rho0.8442_SoA_OmpExecutor_C08_hilbert_2x2x2,32768,1,500,5.76557,2.84169,0.0115311,0.0114938,0.0112642,0.0132491,0.000365606
2026-04-23 18:05:02.422103,Argon_n40_rho0.8442_SoA_OmpExecutor_C08_hilbert_2x2x2,64000,2,500,6.16786,5.18819,0.0123357,0.0123532,0.0120777,0.0126388,0.000347517
