----------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                        Time             CPU   Iterations UserCounters...
----------------------------------------------------------------------------------------------------------------------------------
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_mean             5197 ms         5196 ms            5 items_per_second=807.054M/s ns/interaction=1.23918s
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_median           5177 ms         5176 ms            5 items_per_second=810.177M/s ns/interaction=1.2343s
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_stddev           54.3 ms         54.2 ms            5 items_per_second=8.39196M/s ns/interaction=0.0129334s
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_cv               1.04 %          1.04 %             5 items_per_second=1.04% ns/interaction=1.04%
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_mean             4910 ms         4909 ms            5 items_per_second=854.209M/s ns/interaction=1.17067s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_median           4910 ms         4909 ms            5 items_per_second=854.196M/s ns/interaction=1.17069s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_stddev           2.84 ms         2.82 ms            5 items_per_second=491.618k/s ns/interaction=673.512us
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_cv               0.06 %          0.06 %             5 items_per_second=0.06% ns/interaction=0.06%
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_mean         5088 ms         5087 ms            5 items_per_second=824.374M/s ns/interaction=1.2131s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_median       5086 ms         5086 ms            5 items_per_second=824.545M/s ns/interaction=1.21279s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_stddev       39.8 ms         39.8 ms            5 items_per_second=6.44735M/s ns/interaction=9.49597ms
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_cv           0.78 %          0.78 %             5 items_per_second=0.78% ns/interaction=0.78%
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500_mean               1539 ms         1539 ms            5 items_per_second=2.72528G/s ns/interaction=0.366942s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500_median             1536 ms         1536 ms            5 items_per_second=2.72963G/s ns/interaction=0.36635s
