----------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                        Time             CPU   Iterations UserCounters...
----------------------------------------------------------------------------------------------------------------------------------
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_mean             4272 ms         4272 ms            3 items_per_second=981.66M/s ns/interaction=1.01869s
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_median           4267 ms         4266 ms            3 items_per_second=982.992M/s ns/interaction=1.0173s
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_stddev           14.9 ms         14.9 ms            3 items_per_second=3.41519M/s ns/interaction=3.55015ms
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_cv               0.35 %          0.35 %             3 items_per_second=0.35% ns/interaction=0.35%
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_mean             5026 ms         5025 ms            3 items_per_second=834.469M/s ns/interaction=1.1984s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_median           5019 ms         5019 ms            3 items_per_second=835.556M/s ns/interaction=1.19681s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_stddev           34.2 ms         34.2 ms            3 items_per_second=5.66819M/s ns/interaction=8.15573ms
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_cv               0.68 %          0.68 %             3 items_per_second=0.68% ns/interaction=0.68%
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_mean         4865 ms         4864 ms            3 items_per_second=862.088M/s ns/interaction=1.15997s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_median       4865 ms         4864 ms            3 items_per_second=862.15M/s ns/interaction=1.15989s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_stddev      0.589 ms        0.621 ms            3 items_per_second=110.096k/s ns/interaction=148.15us
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_cv           0.01 %          0.01 %             3 items_per_second=0.01% ns/interaction=0.01%
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500_mean               1458 ms         1457 ms            3 items_per_second=2.87898G/s ns/interaction=0.347533s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500_median             1436 ms         1436 ms            3 items_per_second=2.92031G/s ns/interaction=0.342429s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500_stddev             41.8 ms         41.8 ms            3 items_per_second=81.2493M/s ns/interaction=9.96717ms
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500_cv                 2.87 %          2.87 %             3 items_per_second=2.82% ns/interaction=2.87%
