---------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                 Time             CPU   Iterations UserCounters...
---------------------------------------------------------------------------------------------------------------------------
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500           4246 ms         4245 ms            1 items_per_second=987.705M/s ns/interaction=1.01245s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500           4982 ms         4982 ms            1 items_per_second=841.755M/s ns/interaction=1.18799s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500       4862 ms         4861 ms            1 items_per_second=862.567M/s ns/interaction=1.15933s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500             1426 ms         1426 ms            1 items_per_second=2.94062G/s ns/interaction=0.340065s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Auto>/16/500         1422 ms         1422 ms            1 items_per_second=2.9487G/s ns/interaction=0.339133s
BM_April_DirectSum<Layout::AoSoA<16>, VectorPolicy::Auto>/16/500       1416 ms         1416 ms            1 items_per_second=2.96111G/s ns/interaction=0.337711s
BM_April_DirectSum<Layout::AoSoA<32>, VectorPolicy::Auto>/16/500       1647 ms         1647 ms            1 items_per_second=2.54607G/s ns/interaction=0.392762s
BM_Baseline_Handcoded_AoS_Scalar/16/500                                4271 ms         4270 ms            1 items_per_second=981.992M/s ns/interaction=1.01834s
BM_Baseline_Handcoded_SoA_Scalar/16/500                                4529 ms         4528 ms            1 items_per_second=926.034M/s ns/interaction=1.07987s
BM_Baseline_Handcoded_SoA_2D_SIMD/16/500                               1439 ms         1438 ms            1 items_per_second=2.91526G/s ns/interaction=0.343023s
BM_Baseline_Handcoded_SoA_1D_SIMD/16/500                               1925 ms         1925 ms            1 items_per_second=2.1782G/s ns/interaction=0.459095s
