--------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                            Time             CPU   Iterations UserCounters...
--------------------------------------------------------------------------------------------------------------------------------------
BM_LinkedCells_UpdateForcesOnly<Layout::AoS, VectorPolicy::Scalar>/50/25          3174 ms         3174 ms            1 items_per_second=299.727M/s ns/interaction=3.33637s
BM_LinkedCells_FullIntegration<Layout::AoS, VectorPolicy::Scalar>/50/25           3344 ms         3344 ms            1 items_per_second=284.507M/s ns/interaction=3.51485s
BM_LinkedCells_UpdateForcesOnly<Layout::SoA, VectorPolicy::Scalar>/50/25          3960 ms         3960 ms            1 items_per_second=240.228M/s ns/interaction=4.16272s
BM_LinkedCells_UpdateForcesOnly<Layout::SoA, VectorPolicy::Auto>/50/25            1053 ms         1053 ms            1 items_per_second=903.431M/s ns/interaction=1.10689s
BM_LinkedCells_UpdateForcesOnly<Layout::AoSoA<>, VectorPolicy::Auto>/50/25        1011 ms         1011 ms            1 items_per_second=940.742M/s ns/interaction=1.06299s
BM_LinkedCells_FullIntegration<Layout::AoSoA<>, VectorPolicy::Auto>/50/25         1092 ms         1092 ms            1 items_per_second=870.955M/s ns/interaction=1.14817s
BM_DirectSum_FullIntegration<Layout::AoS, VectorPolicy::Scalar>/4000/200          5487 ms         5486 ms            1 items_per_second=291.57M/s ns/interaction=3.42971s
BM_DirectSum_UpdateForcesOnly<Layout::AoS, VectorPolicy::Scalar>/4000/200         5264 ms         5263 ms            1 items_per_second=303.913M/s ns/interaction=3.29042s
BM_DirectSum_FullIntegration<Layout::SoA, VectorPolicy::Scalar>/4000/200          6556 ms         6556 ms            1 items_per_second=244.005M/s ns/interaction=4.09827s
BM_DirectSum_UpdateForcesOnly<Layout::SoA, VectorPolicy::Scalar>/4000/200         6748 ms         6747 ms            1 items_per_second=237.094M/s ns/interaction=4.21774s
BM_DirectSum_FullIntegration<Layout::SoA, VectorPolicy::Auto>/4000/200            1559 ms         1559 ms            1 items_per_second=1.02632G/s ns/interaction=0.974352s
BM_DirectSum_UpdateForcesOnly<Layout::SoA, VectorPolicy::Auto>/4000/200           1496 ms         1496 ms            1 items_per_second=1.06929G/s ns/interaction=0.935198s
BM_DirectSum_FullIntegration<Layout::AoSoA<>, VectorPolicy::Auto>/4000/200        1519 ms         1518 ms            1 items_per_second=1.05342G/s ns/interaction=0.949293s
BM_DirectSum_UpdateForcesOnly<Layout::AoSoA<>, VectorPolicy::Auto>/4000/200       1445 ms         1444 ms            1 items_per_second=1.10741G/s ns/interaction=0.903011s
BM_Manual_AbsoluteMaxPerf/7998000                                                 5.45 ms         5.45 ms          129 items_per_second=1.46849G/s ns/interaction=0.68097s
BM_Manual_RealisticVectorRead/7998000                                             14.7 ms         14.7 ms           46 items_per_second=543.402M/s ns/interaction=1.84026s
BM_Manual_TriangleAoS/4000/200                                                    2763 ms         2762 ms            1 items_per_second=579.086M/s ns/interaction=1.72686s
BM_Manual_TriangleSoA/4000/200                                                    1596 ms         1596 ms            1 items_per_second=1.00256G/s ns/interaction=0.997444s
BM_Manual_TriangleSoA_ExplicitSIMD/4000/200                                       1461 ms         1461 ms            1 items_per_second=1.09522G/s ns/interaction=0.913059s
