----------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                        Time             CPU   Iterations UserCounters...
----------------------------------------------------------------------------------------------------------------------------------
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_mean             4306 ms         4305 ms            3 items_per_second=973.944M/s ns/interaction=1.02676s
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_median           4305 ms         4304 ms            3 items_per_second=974.288M/s ns/interaction=1.02639s
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_stddev           7.41 ms         7.48 ms            3 items_per_second=1.69087M/s ns/interaction=1.78347ms
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_cv               0.17 %          0.17 %             3 items_per_second=0.17% ns/interaction=0.17%
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_mean             4996 ms         4995 ms            3 items_per_second=839.544M/s ns/interaction=1.19112s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_median           4995 ms         4994 ms            3 items_per_second=839.747M/s ns/interaction=1.19083s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_stddev           2.35 ms         2.40 ms            3 items_per_second=402.58k/s ns/interaction=571.323us
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_cv               0.05 %          0.05 %             3 items_per_second=0.05% ns/interaction=0.05%
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_mean         4869 ms         4868 ms            3 items_per_second=861.402M/s ns/interaction=1.1609s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_median       4870 ms         4869 ms            3 items_per_second=861.231M/s ns/interaction=1.16113s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_stddev       2.59 ms         2.60 ms            3 items_per_second=460.389k/s ns/interaction=620.301us
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_cv           0.05 %          0.05 %             3 items_per_second=0.05% ns/interaction=0.05%
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500_mean               1432 ms         1432 ms            3 items_per_second=2.92891G/s ns/interaction=0.341425s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500_median             1431 ms         1431 ms            3 items_per_second=2.9304G/s ns/interaction=0.34125s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500_stddev             3.74 ms         3.73 ms            3 items_per_second=7.61496M/s ns/interaction=888.334us
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500_cv                 0.26 %          0.26 %             3 items_per_second=0.26% ns/interaction=0.26%
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Auto>/16/500_mean           1423 ms         1423 ms            3 items_per_second=2.94742G/s ns/interaction=0.33928s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Auto>/16/500_median         1423 ms         1423 ms            3 items_per_second=2.94777G/s ns/interaction=0.33924s
