---------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                 Time             CPU   Iterations UserCounters...
---------------------------------------------------------------------------------------------------------------------------
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500           4272 ms         4271 ms            1 items_per_second=981.767M/s ns/interaction=1.01857s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500           4995 ms         4994 ms            1 items_per_second=839.612M/s ns/interaction=1.19103s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500       4867 ms         4866 ms            1 items_per_second=861.739M/s ns/interaction=1.16044s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500             1431 ms         1430 ms            1 items_per_second=2.93142G/s ns/interaction=0.341131s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Auto>/16/500         1424 ms         1424 ms            1 items_per_second=2.94568G/s ns/interaction=0.33948s
BM_April_DirectSum<Layout::AoSoA<16>, VectorPolicy::Auto>/16/500       1420 ms         1419 ms            1 items_per_second=2.95427G/s ns/interaction=0.338493s
BM_April_DirectSum<Layout::AoSoA<32>, VectorPolicy::Auto>/16/500       1649 ms         1649 ms            1 items_per_second=2.54269G/s ns/interaction=0.393285s
BM_Baseline_Handcoded_AoS_Scalar/16/500                                4277 ms         4277 ms            1 items_per_second=980.513M/s ns/interaction=1.01987s
BM_Baseline_Handcoded_SoA_Scalar/16/500                                4546 ms         4545 ms            1 items_per_second=922.65M/s ns/interaction=1.08383s
BM_Baseline_Handcoded_SoA_2D_SIMD/16/500                               1448 ms         1448 ms            1 items_per_second=2.89639G/s ns/interaction=0.345258s
BM_Baseline_Handcoded_SoA_1D_SIMD/16/500                               1936 ms         1936 ms            1 items_per_second=2.16619G/s ns/interaction=0.461641s
