--------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                            Time             CPU   Iterations UserCounters...
--------------------------------------------------------------------------------------------------------------------------------------
BM_LinkedCells_UpdateForcesOnly<Layout::AoS, VectorPolicy::Scalar>/50/25          3176 ms         3176 ms            1 items_per_second=299.548M/s ns/interaction=3.33836s
BM_LinkedCells_FullIntegration<Layout::AoS, VectorPolicy::Scalar>/50/25           3345 ms         3344 ms            1 items_per_second=284.445M/s ns/interaction=3.51562s
BM_LinkedCells_UpdateForcesOnly<Layout::SoA, VectorPolicy::Scalar>/50/25          3935 ms         3934 ms            1 items_per_second=241.783M/s ns/interaction=4.13594s
BM_LinkedCells_UpdateForcesOnly<Layout::SoA, VectorPolicy::Auto>/50/25            1068 ms         1068 ms            1 items_per_second=890.617M/s ns/interaction=1.12282s
BM_LinkedCells_UpdateForcesOnly<Layout::AoSoA<>, VectorPolicy::Auto>/50/25        1026 ms         1026 ms            1 items_per_second=926.918M/s ns/interaction=1.07884s
BM_LinkedCells_FullIntegration<Layout::AoSoA<>, VectorPolicy::Auto>/50/25         1107 ms         1107 ms            1 items_per_second=859.163M/s ns/interaction=1.16392s
BM_DirectSum_FullIntegration<Layout::AoS, VectorPolicy::Scalar>/4000/200          5486 ms         5486 ms            1 items_per_second=291.596M/s ns/interaction=3.42941s
BM_DirectSum_UpdateForcesOnly<Layout::AoS, VectorPolicy::Scalar>/4000/200         5260 ms         5259 ms            1 items_per_second=304.147M/s ns/interaction=3.28788s
BM_DirectSum_FullIntegration<Layout::SoA, VectorPolicy::Scalar>/4000/200          6556 ms         6555 ms            1 items_per_second=244.023M/s ns/interaction=4.09797s
BM_DirectSum_UpdateForcesOnly<Layout::SoA, VectorPolicy::Scalar>/4000/200         6520 ms         6519 ms            1 items_per_second=245.383M/s ns/interaction=4.07526s
BM_DirectSum_FullIntegration<Layout::SoA, VectorPolicy::Auto>/4000/200            1559 ms         1559 ms            1 items_per_second=1.02603G/s ns/interaction=0.97463s
BM_DirectSum_UpdateForcesOnly<Layout::SoA, VectorPolicy::Auto>/4000/200           1481 ms         1481 ms            1 items_per_second=1.08012G/s ns/interaction=0.925819s
BM_DirectSum_FullIntegration<Layout::AoSoA<>, VectorPolicy::Auto>/4000/200        1541 ms         1541 ms            1 items_per_second=1.03807G/s ns/interaction=0.96333s
BM_DirectSum_UpdateForcesOnly<Layout::AoSoA<>, VectorPolicy::Auto>/4000/200       1467 ms         1466 ms            1 items_per_second=1.09088G/s ns/interaction=0.916691s
BM_Manual_AbsoluteMaxPerf/7998000                                                 5.46 ms         5.45 ms          128 items_per_second=1.4663G/s ns/interaction=0.681987s
BM_Manual_RealisticVectorRead/7998000                                             14.6 ms         14.6 ms           46 items_per_second=546.101M/s ns/interaction=1.83116s
BM_Manual_TriangleAoS/4000/200                                                    2762 ms         2761 ms            1 items_per_second=579.271M/s ns/interaction=1.72631s
BM_Manual_TriangleSoA/4000/200                                                    1598 ms         1597 ms            1 items_per_second=1.00136G/s ns/interaction=0.998642s
BM_Manual_TriangleSoA_ExplicitSIMD/4000/200                                       1470 ms         1470 ms            1 items_per_second=1.08842G/s ns/interaction=0.918759s
