---------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                 Time             CPU   Iterations UserCounters...
---------------------------------------------------------------------------------------------------------------------------
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500           4286 ms         4286 ms            1 items_per_second=978.453M/s ns/interaction=1.02202s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500           4989 ms         4989 ms            1 items_per_second=840.587M/s ns/interaction=1.18964s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500       4861 ms         4860 ms            1 items_per_second=862.804M/s ns/interaction=1.15901s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Auto>/16/500             1427 ms         1427 ms            1 items_per_second=2.93922G/s ns/interaction=0.340226s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Auto>/16/500         1423 ms         1422 ms            1 items_per_second=2.94793G/s ns/interaction=0.339221s
BM_April_DirectSum<Layout::AoSoA<16>, VectorPolicy::Auto>/16/500       1419 ms         1419 ms            1 items_per_second=2.95475G/s ns/interaction=0.338438s
BM_April_DirectSum<Layout::AoSoA<32>, VectorPolicy::Auto>/16/500       1646 ms         1646 ms            1 items_per_second=2.5481G/s ns/interaction=0.392449s
BM_Baseline_Handcoded_AoS_Scalar/16/500                                4273 ms         4272 ms            1 items_per_second=981.582M/s ns/interaction=1.01876s
BM_Baseline_Handcoded_SoA_Scalar/16/500                                4593 ms         4593 ms            1 items_per_second=913.038M/s ns/interaction=1.09524s
BM_Baseline_Handcoded_SoA_2D_SIMD/16/500                               1444 ms         1444 ms            1 items_per_second=2.90366G/s ns/interaction=0.344393s
BM_Baseline_Handcoded_SoA_1D_SIMD/16/500                               1934 ms         1934 ms            1 items_per_second=2.16832G/s ns/interaction=0.461186s
