----------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                        Time             CPU   Iterations UserCounters...
----------------------------------------------------------------------------------------------------------------------------------
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_mean             4849 ms         4848 ms            3 items_per_second=865.027M/s ns/interaction=1.15605s
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_median           4861 ms         4860 ms            3 items_per_second=862.754M/s ns/interaction=1.15908s
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_stddev           24.4 ms         24.3 ms            3 items_per_second=4.35355M/s ns/interaction=5.80161ms
BM_April_DirectSum<Layout::AoS, VectorPolicy::Scalar>/16/500_cv               0.50 %          0.50 %             3 items_per_second=0.50% ns/interaction=0.50%
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_mean             5401 ms         5400 ms            3 items_per_second=776.55M/s ns/interaction=1.28775s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_median           5403 ms         5402 ms            3 items_per_second=776.283M/s ns/interaction=1.28819s
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_stddev           4.24 ms         4.28 ms            3 items_per_second=615.069k/s ns/interaction=1.01954ms
BM_April_DirectSum<Layout::SoA, VectorPolicy::Scalar>/16/500_cv               0.08 %          0.08 %             3 items_per_second=0.08% ns/interaction=0.08%
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_mean         5210 ms         5209 ms            3 items_per_second=804.973M/s ns/interaction=1.24228s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_median       5212 ms         5211 ms            3 items_per_second=804.752M/s ns/interaction=1.24262s
BM_April_DirectSum<Layout::AoSoA<>, VectorPolicy::Scalar>/16/500_stddev       13.9 ms         13.9 ms            3 items_per_second=2.15105M/s ns/interaction=3.31829ms
