Timestamp,Label,Particles,Threads,Steps,Integration_s,MUPS,Avg_s,Median_s,P05_s,P99_s,StdDev_s
2026-04-22 10:11:10.622273167,Argon_n32_rho0.8442_SoA_OmpExecutor_C08_hilbert_2x2x2,32768,1,500,5.93738,2.75946,0.0118748,0.0119126,0.0115852,0.0122482,0.000228217
2026-04-22 10:11:18.071344118,Argon_n40_rho0.8442_SoA_OmpExecutor_C08_hilbert_2x2x2,64000,2,500,6.65911,4.80544,0.0133182,0.0133317,0.0129738,0.014309,0.000234879
2026-04-22 10:11:26.282395047,Argon_n46_rho0.8442_SoA_OmpExecutor_C08_hilbert_2x2x2,97336,3,500,7.33449,6.6355,0.014669,0.0146922,0.0143122,0.0152409,0.000261881
2026-04-22 10:11:34.636852655,Argon_n51_rho0.8442_SoA_OmpExecutor_C08_hilbert_2x2x2,132651,4,500,7.39428,8.96983,0.0147886,0.0147913,0.0145235,0.0158666,0.000240682
2026-04-22 10:11:43.225820309,Argon_n58_rho0.8442_SoA_OmpExecutor_C08_hilbert_2x2x2,195112,6,500,7.60268,12.8318,0.0152054,0.0152295,0.0147275,0.0163408,0.000279488
2026-04-22 10:11:51.763076141,Argon_n64_rho0.8442_SoA_OmpExecutor_C08_hilbert_2x2x2,262144,8,500,7.56973,17.3153,0.0151395,0.0151795,0.0145952,0.0163087,0.000389339
2026-04-22 10:12:00.527383151,Argon_n71_rho0.8442_SoA_OmpExecutor_C08_hilbert_2x2x2,357911,11,500,7.69218,23.2646,0.0153844,0.0153847,0.0150458,0.0171943,0.000279266
2026-04-22 10:12:10.161530947,Argon_n81_rho0.8442_SoA_OmpExecutor_C08_hilbert_2x2x2,531441,16,500,8.39145,31.6656,0.0167829,0.0167656,0.0165072,0.0191331,0.000343335
2026-04-22 10:12:20.743325238,Argon_n91_rho0.8442_SoA_OmpExecutor_C08_hilbert_2x2x2,753571,23,500,9.14929,41.1819,0.0182986,0.0182758,0.0180543,0.0201861,0.000295847
2026-04-22 10:12:32.851338918,Argon_n102_rho0.8442_SoA_OmpExecutor_C08_hilbert_2x2x2,1061208,32,500,10.4385,50.8313,0.0208771,0.0208433,0.0206521,0.0230807,0.000331446
2026-04-22 10:12:47.845507791,Argon_n114_rho0.8442_SoA_OmpExecutor_C08_hilbert_2x2x2,1481544,45,500,12.851,57.6432,0.025702,0.0256691,0.0254231,0.0274631,0.000360045
2026-04-22 10:13:07.165024459,Argon_n122_rho0.8442_SoA_OmpExecutor_C08_hilbert_2x2x2,1815848,56,500,16.862,53.8443,0.033724,0.0323145,0.029924,0.0558286,0.00491133
2026-04-22 10:35:32.844467821,Argon_n32_rho0.8442_SoA_NativeSpinExecutor_C08_none_2x2x2,32768,1,500,5.7999,2.82488,0.0115998,0.011628,0.0113685,0.0118763,0.00020149
2026-04-22 10:35:40.050767821,Argon_n40_rho0.8442_SoA_NativeSpinExecutor_C08_none_2x2x2,64000,2,500,6.44493,4.96515,0.0128899,0.012903,0.0126918,0.0134662,0.000238632
2026-04-22 10:35:48.097812357,Argon_n46_rho0.8442_SoA_NativeSpinExecutor_C08_none_2x2x2,97336,3,500,7.19728,6.762,0.0143946,0.0144376,0.0140813,0.0151614,0.000291606
2026-04-22 10:35:56.365322388,Argon_n51_rho0.8442_SoA_NativeSpinExecutor_C08_none_2x2x2,132651,4,500,7.377,8.99085,0.014754,0.0147768,0.0145215,0.0154884,0.000281328
2026-04-22 10:36:05.369903176,Argon_n58_rho0.8442_SoA_NativeSpinExecutor_C08_none_2x2x2,195112,6,500,8.04056,12.133,0.0160811,0.0161314,0.0156793,0.0172224,0.00029203
2026-04-22 10:36:13.952427743,Argon_n64_rho0.8442_SoA_NativeSpinExecutor_C08_none_2x2x2,262144,8,500,7.62707,17.1851,0.0152541,0.0152729,0.015076,0.0160872,0.000299582
2026-04-22 10:36:23.236648173,Argon_n71_rho0.8442_SoA_NativeSpinExecutor_C08_none_2x2x2,357911,11,500,8.19846,21.8279,0.0163969,0.0164249,0.0160284,0.0176573,0.000268457
2026-04-22 10:36:33.445658276,Argon_n81_rho0.8442_SoA_NativeSpinExecutor_C08_none_2x2x2,531441,16,500,8.95134,29.685,0.0179027,0.0179174,0.0175512,0.0191827,0.000255384
2026-04-22 10:36:44.373701731,Argon_n91_rho0.8442_SoA_NativeSpinExecutor_C08_none_2x2x2,753571,23,500,9.51293,39.6077,0.0190259,0.0190186,0.0187812,0.0207745,0.00025705
2026-04-22 10:36:56.858352971,Argon_n102_rho0.8442_SoA_NativeSpinExecutor_C08_none_2x2x2,1061208,32,500,10.8069,49.0984,0.0216139,0.0215181,0.0212984,0.0236979,0.00127408
2026-04-22 10:37:11.650668805,Argon_n114_rho0.8442_SoA_NativeSpinExecutor_C08_none_2x2x2,1481544,45,500,12.7396,58.1472,0.0254792,0.0254494,0.0251693,0.0271424,0.000307447
2026-04-22 10:37:29.912459951,Argon_n122_rho0.8442_SoA_NativeSpinExecutor_C08_none_2x2x2,1815848,56,500,15.8415,57.3131,0.031683,0.0312972,0.0290876,0.0418901,0.00293952
